customer_zip_code_prefix;customer_city;customer_state
14409;franca; Sao Paulo
9790;sao bernardo do campo; Sao Paulo
1151;sao paulo; Sao Paulo
8775;mogi das cruzes; Sao Paulo
13056;campinas; Sao Paulo
89254;jaragua do sul; Santa Catarina
4534;sao paulo; Sao Paulo
35182;timoteo; Minas Gerais
81560;curitiba;Parana
30575;belo horizonte; Minas Gerais
39400;montes claros; Minas Gerais
20231;rio de janeiro;Rio de Janeiro
18682;lencois paulista; Sao Paulo
5704;sao paulo; Sao Paulo
95110;caxias do sul;Rio Grande do Sul
13412;piracicaba; Sao Paulo
22750;rio de janeiro;Rio de Janeiro
7124;guarulhos; Sao Paulo
5416;sao paulo; Sao Paulo
68485;pacaja; Para
88034;florianopolis; Santa Catarina
74914;aparecida de goiania; Goias
5713;sao paulo; Sao Paulo
82820;curitiba;Parana
8225;sao paulo; Sao Paulo
9121;santo andre; Sao Paulo
74310;goiania; Goias
4571;sao paulo; Sao Paulo
29311;cachoeiro de itapemirim; Espirito Santo
5528;sao paulo; Sao Paulo
12235;sao jose dos campos; Sao Paulo
18130;sao roque; Sao Paulo
42800;camacari; Bahia
27525;resende;Rio de Janeiro
81750;curitiba;Parana
13175;sumare; Sao Paulo
7170;guarulhos; Sao Paulo
93415;novo hamburgo;Rio Grande do Sul
65075;sao luis; Maranhao
88104;sao jose; Santa Catarina
7176;guarulhos; Sao Paulo
35960;santa barbara; Minas Gerais
5727;sao paulo; Sao Paulo
7053;guarulhos; Sao Paulo
14026;ribeirao preto; Sao Paulo
30320;belo horizonte; Minas Gerais
38300;ituiutaba; Minas Gerais
18740;taquarituba; Sao Paulo
83085;sao jose dos pinhais;Parana
5351;sao paulo; Sao Paulo
39406;montes claros; Minas Gerais
14860;barrinha; Sao Paulo
21310;rio de janeiro;Rio de Janeiro
23970;parati;Rio de Janeiro
79804;dourados; Mato Grosso do Sul
5017;sao paulo; Sao Paulo
75388;trindade; Goias
85808;cascavel;Parana
60140;fortaleza; Ceara
72270;brasilia; Distrito Federal
2075;sao paulo; Sao Paulo
96015;pelotas;Rio Grande do Sul
90010;porto alegre;Rio Grande do Sul
22440;rio de janeiro;Rio de Janeiro
13323;salto; Sao Paulo
30190;belo horizonte; Minas Gerais
13212;jundiai; Sao Paulo
29307;cachoeiro de itapemirim; Espirito Santo
12280;cacapava; Sao Paulo
60336;fortaleza; Ceara
11310;sao vicente; Sao Paulo
38408;uberlandia; Minas Gerais
37720;botelhos; Minas Gerais
24431;sao goncalo;Rio de Janeiro
5890;sao paulo; Sao Paulo
3733;sao paulo; Sao Paulo
83709;araucaria;Parana
11347;sao vicente; Sao Paulo
26272;nova iguacu;Rio de Janeiro
5415;sao paulo; Sao Paulo
59655;areia branca;Rio Grande do Norte
4548;sao paulo; Sao Paulo
28010;campos dos goytacazes;Rio de Janeiro
13573;sao carlos; Sao Paulo
2175;sao paulo; Sao Paulo
37500;itajuba; Minas Gerais
90670;porto alegre;Rio Grande do Sul
9890;sao bernardo do campo; Sao Paulo
13321;salto; Sao Paulo
44380;cruz das almas; Bahia
27700;vassouras;Rio de Janeiro
44033;feira de santana; Bahia
4537;sao paulo; Sao Paulo
71540;brasilia; Distrito Federal
13569;sao carlos; Sao Paulo
5565;sao paulo; Sao Paulo
3636;sao paulo; Sao Paulo
24120;niteroi;Rio de Janeiro
65058;sao luis; Maranhao
2983;sao paulo; Sao Paulo
4105;sao paulo; Sao Paulo
89260;jaragua do sul; Santa Catarina
62016;sobral; Ceara
35500;divinopolis; Minas Gerais
8743;mogi das cruzes; Sao Paulo
71928;brasilia; Distrito Federal
4938;sao paulo; Sao Paulo
2209;sao paulo; Sao Paulo
25850;paraiba do sul;Rio de Janeiro
53437;paulista; Pernambuco
4710;sao paulo; Sao Paulo
6382;carapicuiba; Sao Paulo
2632;sao paulo; Sao Paulo
95765;bom principio;Rio Grande do Sul
2631;sao paulo; Sao Paulo
36780;astolfo dutra; Minas Gerais
80050;curitiba;Parana
30664;belo horizonte; Minas Gerais
86990;marialva;Parana
8490;sao paulo; Sao Paulo
15015;sao jose do rio preto; Sao Paulo
28909;cabo frio;Rio de Janeiro
32140;contagem; Minas Gerais
38410;uberlandia; Minas Gerais
86640;cafeara;Parana
91340;porto alegre;Rio Grande do Sul
14600;sao joaquim da barra; Sao Paulo
85854;foz do iguacu;Parana
30421;belo horizonte; Minas Gerais
9862;sao bernardo do campo; Sao Paulo
8686;suzano; Sao Paulo
7243;guarulhos; Sao Paulo
89120;timbo; Santa Catarina
88348;camboriu; Santa Catarina
95340;nova bassano;Rio Grande do Sul
96215;rio grande;Rio Grande do Sul
71665;brasilia; Distrito Federal
12929;braganca paulista; Sao Paulo
78600;barra do garcas; Mato Grosso
4960;sao paulo; Sao Paulo
6835;embu; Sao Paulo
9784;sao bernardo do campo; Sao Paulo
73020;brasilia; Distrito Federal
88840;urussanga; Santa Catarina
37589;silvianopolis; Minas Gerais
5874;sao paulo; Sao Paulo
39505;gameleiras; Minas Gerais
66050;belem; Para
37701;pocos de caldas; Minas Gerais
32070;contagem; Minas Gerais
11065;santos; Sao Paulo
12970;piracaia; Sao Paulo
22251;rio de janeiro;Rio de Janeiro
11035;santos; Sao Paulo
78557;sinop; Mato Grosso
11440;guaruja; Sao Paulo
6401;barueri; Sao Paulo
5590;sao paulo; Sao Paulo
95770;feliz;Rio Grande do Sul
4679;sao paulo; Sao Paulo
30330;belo horizonte; Minas Gerais
12270;jambeiro; Sao Paulo
15050;sao jose do rio preto; Sao Paulo
35160;ipatinga; Minas Gerais
17602;tupa; Sao Paulo
4427;sao paulo; Sao Paulo
70750;brasilia; Distrito Federal
89031;blumenau; Santa Catarina
15275;moncoes; Sao Paulo
22290;rio de janeiro;Rio de Janeiro
3563;sao paulo; Sao Paulo
88330;balneario camboriu; Santa Catarina
20030;rio de janeiro;Rio de Janeiro
4723;sao paulo; Sao Paulo
65430;vargem grande; Maranhao
79130;rio brilhante; Mato Grosso do Sul
36855;eugenopolis; Minas Gerais
66055;belem; Para
15054;sao jose do rio preto; Sao Paulo
13142;paulinia; Sao Paulo
3951;sao paulo; Sao Paulo
13214;jundiai; Sao Paulo
3127;sao paulo; Sao Paulo
9030;santo andre; Sao Paulo
12240;sao jose dos campos; Sao Paulo
13045;campinas; Sao Paulo
30830;belo horizonte; Minas Gerais
86806;apucarana;Parana
52070;recife; Pernambuco
6290;osasco; Sao Paulo
13270;valinhos; Sao Paulo
9040;santo andre; Sao Paulo
69049;manaus; Amazonas
95595;cidreira;Rio Grande do Sul
20561;rio de janeiro;Rio de Janeiro
97700;santiago;Rio Grande do Sul
8340;sao paulo; Sao Paulo
97340;sao sepe;Rio Grande do Sul
78580;alta floresta; Mato Grosso
7191;guarulhos; Sao Paulo
54430;jaboatao dos guararapes; Pernambuco
5451;sao paulo; Sao Paulo
29395;ibatiba; Espirito Santo
13188;hortolandia; Sao Paulo
2376;sao paulo; Sao Paulo
6719;cotia; Sao Paulo
27915;macae;Rio de Janeiro
89868;saudades; Santa Catarina
22220;rio de janeiro;Rio de Janeiro
68908;macapa;Sin Dato
18160;salto de pirapora; Sao Paulo
6764;taboao da serra; Sao Paulo
75570;bom jesus; Goias
95124;caxias do sul;Rio Grande do Sul
38415;uberlandia; Minas Gerais
18900;santa cruz do rio pardo; Sao Paulo
9950;diadema; Sao Paulo
45320;santa ines; Bahia
23075;rio de janeiro;Rio de Janeiro
48700;serrinha; Bahia
18112;votorantim; Sao Paulo
13185;hortolandia; Sao Paulo
27580;itatiaia;Rio de Janeiro
25245;duque de caxias;Rio de Janeiro
28375;varre-sai;Rio de Janeiro
21615;rio de janeiro;Rio de Janeiro
95095;caxias do sul;Rio Grande do Sul
20250;rio de janeiro;Rio de Janeiro
29101;vila velha; Espirito Santo
13053;campinas; Sao Paulo
23860;mangaratiba;Rio de Janeiro
12942;atibaia; Sao Paulo
5450;sao paulo; Sao Paulo
41706;salvador; Bahia
57046;maceio; Alagoas
91350;porto alegre;Rio Grande do Sul
22620;rio de janeiro;Rio de Janeiro
16204;birigui; Sao Paulo
14401;franca; Sao Paulo
25675;petropolis;Rio de Janeiro
