index;ds;y
0;2016-10-04;71.0
1;2016-10-05;143.88
2;2016-10-06;20.9
3;2016-10-07;180.45000000000002
4;2016-10-08;198.79000000000002
5;2016-10-09;35.0
6;2016-10-10;19.0
7;2017-01-12;402.90000000000003
8;2017-01-18;240.70000000000002
9;2017-01-19;84.9
10;2017-01-21;19.9
11;2017-01-23;47.89
12;2017-01-24;99.0
13;2017-01-25;67.8
14;2017-01-26;48.9
15;2017-01-27;2224.75
16;2017-01-29;26.9
17;2017-01-30;608.6
18;2017-01-31;51.9
19;2017-02-01;541.54
20;2017-02-02;236.8
21;2017-02-03;26.9
22;2017-02-04;126.78999999999999
23;2017-02-06;30.0
24;2017-02-07;873.29
25;2017-02-08;305.79999999999995
26;2017-02-09;334.9
27;2017-02-10;4091.7799999999997
28;2017-02-11;110.6
29;2017-02-12;119.9
30;2017-02-13;218.8
31;2017-02-14;1199.66
32;2017-02-15;159.99
33;2017-02-16;493.8
34;2017-02-17;135.8
35;2017-02-18;276.5
36;2017-02-19;95.75999999999999
37;2017-02-20;331.87
38;2017-02-21;270.69000000000005
39;2017-02-22;86.80000000000001
40;2017-02-23;621.47
41;2017-02-24;443.95000000000005
42;2017-02-25;30.0
43;2017-02-26;20.0
44;2017-02-27;49.9
45;2017-02-28;85.80000000000001
46;2017-03-01;409.95
47;2017-03-02;62.9
48;2017-03-03;1701.97
49;2017-03-04;301.8
50;2017-03-05;146.5
51;2017-03-06;264.4
52;2017-03-07;689.7
53;2017-03-08;4371.389999999999
54;2017-03-09;472.5
55;2017-03-10;1397.0900000000001
56;2017-03-11;251.59
57;2017-03-12;19.9
58;2017-03-13;562.6
59;2017-03-14;41.8
60;2017-03-15;539.3
61;2017-03-16;685.75
62;2017-03-17;29.9
63;2017-03-18;555.7
64;2017-03-19;198.99
65;2017-03-20;3462.88
66;2017-03-21;586.28
67;2017-03-22;874.4
68;2017-03-23;2592.7799999999997
69;2017-03-24;119.69999999999999
70;2017-03-25;749.0
71;2017-03-26;553.99
72;2017-03-27;4734.04
73;2017-03-28;515.57
74;2017-03-29;99.0
75;2017-03-30;856.78
76;2017-03-31;230.65
77;2017-04-01;89.99
78;2017-04-02;248.89000000000001
79;2017-04-03;55.8
80;2017-04-04;412.05
81;2017-04-05;3220.0
82;2017-04-06;931.0
83;2017-04-07;1050.51
84;2017-04-08;34.9
85;2017-04-09;332.84
86;2017-04-10;1045.5
87;2017-04-11;232.79
88;2017-04-12;451.3
89;2017-04-13;151.1
90;2017-04-14;328.74
91;2017-04-15;108.9
92;2017-04-16;326.9
93;2017-04-17;420.8
94;2017-04-18;877.0
95;2017-04-19;650.89
96;2017-04-20;1084.35
97;2017-04-21;788.89
98;2017-04-22;371.99
99;2017-04-23;1446.38
100;2017-04-24;602.99
101;2017-04-25;1244.68
102;2017-04-26;281.99
103;2017-04-27;428.2
104;2017-04-28;348.89
105;2017-04-29;523.3
106;2017-04-30;261.9
107;2017-05-01;238.59000000000003
108;2017-05-02;1169.0
109;2017-05-03;322.7
110;2017-05-04;624.89
111;2017-05-05;720.0
112;2017-05-06;223.8
113;2017-05-07;1760.77
114;2017-05-08;1621.78
115;2017-05-09;5333.41
116;2017-05-10;5948.7
117;2017-05-11;2620.42
118;2017-05-12;936.99
119;2017-05-13;1030.51
120;2017-05-14;604.5699999999999
121;2017-05-15;1177.06
122;2017-05-16;1557.68
123;2017-05-17;1664.19
124;2017-05-18;1455.5
125;2017-05-19;2745.25
126;2017-05-20;610.59
127;2017-05-21;604.04
128;2017-05-22;2176.61
129;2017-05-23;1316.6
130;2017-05-24;1406.13
131;2017-05-25;1914.22
132;2017-05-26;156.49
133;2017-05-27;81.89
134;2017-05-28;1126.6100000000001
135;2017-05-29;375.68
136;2017-05-30;1713.14
137;2017-05-31;1521.58
138;2017-06-01;2502.19
139;2017-06-02;842.58
