index;ds;y
0;2016-10-04;289.70000000000005
1;2016-10-06;399.8
2;2016-10-07;329.70000000000005
3;2016-10-08;189.89000000000001
4;2016-10-09;44.99
5;2016-10-10;32.99
6;2017-01-12;19.9
7;2017-01-13;498.99
8;2017-01-18;173.85
9;2017-01-19;509.79999999999995
10;2017-01-22;14.5
11;2017-01-23;347.7
12;2017-01-24;284.79
13;2017-01-25;80.4
14;2017-01-26;374.15
15;2017-01-28;60.0
16;2017-01-29;252.6
17;2017-01-30;166.4
18;2017-01-31;44.5
19;2017-02-04;86.8
20;2017-02-06;386.7
21;2017-02-08;381.79
22;2017-02-09;321.2
23;2017-02-10;64.8
24;2017-02-11;331.40000000000003
25;2017-02-12;6826.7
26;2017-02-13;243.9
27;2017-02-14;175.9
28;2017-02-15;16.8
29;2017-02-16;732.5899999999999
30;2017-02-17;509.5
31;2017-02-18;118.9
32;2017-02-19;139.9
33;2017-02-20;54.980000000000004
34;2017-02-21;96.9
35;2017-02-22;19.9
36;2017-02-23;454.6
37;2017-02-24;100.59
38;2017-02-26;41.99
39;2017-02-27;59.9
40;2017-02-28;129.6
41;2017-03-01;90.99
42;2017-03-02;453.4
43;2017-03-03;387.99
44;2017-03-04;380.98
45;2017-03-05;328.88
46;2017-03-06;119.89
47;2017-03-07;606.2
48;2017-03-08;505.43999999999994
49;2017-03-09;272.83
50;2017-03-10;275.66
51;2017-03-11;23.9
52;2017-03-12;483.48
53;2017-03-13;165.4
54;2017-03-14;1444.65
55;2017-03-15;766.54
56;2017-03-16;576.56
57;2017-03-17;347.94
58;2017-03-18;275.47
59;2017-03-19;431.47
60;2017-03-20;706.4100000000001
61;2017-03-21;511.49
62;2017-03-22;355.82
63;2017-03-23;570.87
64;2017-03-24;943.92
65;2017-03-25;186.98
66;2017-03-26;417.35
67;2017-03-27;275.28
68;2017-03-28;192.74
69;2017-03-29;290.26
70;2017-03-30;427.07
71;2017-03-31;91.1
72;2017-04-01;134.1
73;2017-04-03;842.49
74;2017-04-04;701.27
75;2017-04-05;313.27
76;2017-04-06;325.11
77;2017-04-07;162.54
78;2017-04-08;212.85
79;2017-04-09;37.9
80;2017-04-10;129.8
81;2017-04-11;304.88
82;2017-04-12;357.62
83;2017-04-13;319.9
84;2017-04-14;255.89
85;2017-04-15;389.87
86;2017-04-16;76.8
87;2017-04-17;155.98999999999998
88;2017-04-18;244.39000000000001
89;2017-04-19;166.82999999999998
90;2017-04-20;298.19
91;2017-04-21;351.88
92;2017-04-22;594.8
93;2017-04-23;331.96999999999997
94;2017-04-24;1034.03
95;2017-04-25;768.77
96;2017-04-26;743.08
97;2017-04-27;1933.53
98;2017-04-28;789.6700000000001
99;2017-04-29;392.78
100;2017-04-30;101.97999999999999
101;2017-05-01;279.34
102;2017-05-02;934.83
103;2017-05-03;276.38
104;2017-05-04;485.35
105;2017-05-05;576.38
106;2017-05-06;838.19
107;2017-05-07;506.38
108;2017-05-08;782.02
109;2017-05-09;554.29
110;2017-05-10;173.79000000000002
111;2017-05-11;243.99
112;2017-05-12;334.65999999999997
113;2017-05-13;198.9
114;2017-05-14;220.79
115;2017-05-15;604.33
116;2017-05-16;1312.53
117;2017-05-17;1338.35
118;2017-05-18;864.25
119;2017-05-19;1566.6000000000001
120;2017-05-20;626.68
121;2017-05-21;1044.76
122;2017-05-22;779.64
123;2017-05-23;814.54
124;2017-05-24;508.57000000000005
125;2017-05-25;865.39
126;2017-05-26;823.1899999999999
127;2017-05-27;645.98
128;2017-05-28;491.36
129;2017-05-29;1266.71
130;2017-05-30;432.99
131;2017-05-31;983.74
132;2017-06-01;584.15
133;2017-06-02;653.36
134;2017-06-03;954.6500000000001
135;2017-06-04;429.57
136;2017-06-05;1118.51
137;2017-06-06;300.48
138;2017-06-07;1262.0900000000001
139;2017-06-08;830.89
140;2017-06-09;132.38
141;2017-06-10;547.44
142;2017-06-11;856.8199999999999
143;2017-06-12;1429.23
144;2017-06-13;597.78
145;2017-06-14;404.58000000000004
146;2017-06-15;511.38
147;2017-06-16;199.68
148;2017-06-17;335.6
149;2017-06-18;928.8100000000001
150;2017-06-19;1127.78
151;2017-06-20;965.8
152;2017-06-21;369.5
153;2017-06-22;973.6800000000001
154;2017-06-23;970.88
155;2017-06-24;618.09
156;2017-06-25;825.08
157;2017-06-26;319.4
158;2017-06-27;1990.94
159;2017-06-28;1051.8799999999999
160;2017-06-29;875.73
161;2017-06-30;812.0500000000001
162;2017-07-01;130.39
163;2017-07-02;1215.79
164;2017-07-03;929.5500000000001
165;2017-07-04;1011.78
166;2017-07-05;751.45
167;2017-07-06;403.37
168;2017-07-07;620.7
169;2017-07-08;648.46
170;2017-07-09;229.7
171;2017-07-10;404.89
172;2017-07-11;1283.3899999999999
173;2017-07-12;489.5
174;2017-07-13;421.79
175;2017-07-14;745.18
176;2017-07-15;338.4
177;2017-07-16;149.99
178;2017-07-17;839.75
179;2017-07-18;830.6
180;2017-07-19;325.48
181;2017-07-20;498.79
182;2017-07-21;118.9
183;2017-07-22;770.38
184;2017-07-23;546.4
185;2017-07-24;1209.81
186;2017-07-25;835.78
187;2017-07-26;830.9000000000001
188;2017-07-27;436.8
189;2017-07-28;787.73
190;2017-07-29;430.38
191;2017-07-30;686.6800000000001
192;2017-07-31;1328.82
193;2017-08-01;558.71
194;2017-08-02;1206.3
195;2017-08-03;414.79
196;2017-08-04;1199.1299999999999
197;2017-08-05;256.3
198;2017-08-06;492.43
199;2017-08-07;1332.7
200;2017-08-08;882.1800000000001
201;2017-08-09;1057.09
202;2017-08-10;1097.18
203;2017-08-11;600.93
204;2017-08-12;389.9
205;2017-08-13;483.38
206;2017-08-14;2026.57
207;2017-08-15;710.27
208;2017-08-16;730.09
209;2017-08-17;349.65999999999997
210;2017-08-18;761.57
211;2017-08-19;436.56
212;2017-08-20;358.99
213;2017-08-21;113.69999999999999
214;2017-08-22;510.48
215;2017-08-23;184.6
216;2017-08-24;324.29
217;2017-08-25;810.65
218;2017-08-26;618.04
219;2017-08-27;349.28
220;2017-08-28;1616.8200000000002
221;2017-08-29;427.52
222;2017-08-30;925.53
223;2017-08-31;2202.2
224;2017-09-01;557.1600000000001
225;2017-09-02;568.66
226;2017-09-03;996.94
227;2017-09-04;33.8
228;2017-09-05;1829.0900000000001
229;2017-09-06;1360.8
230;2017-09-07;624.94
231;2017-09-08;597.9
232;2017-09-09;184.36
233;2017-09-10;289.87
234;2017-09-11;976.44
235;2017-09-12;318.58
236;2017-09-13;1203.04
237;2017-09-14;807.6899999999999
238;2017-09-15;580.07
239;2017-09-16;142.02
240;2017-09-17;807.65
241;2017-09-18;694.17
242;2017-09-19;377.29
243;2017-09-20;554.49
244;2017-09-21;844.7
245;2017-09-22;561.38
246;2017-09-23;197.8
247;2017-09-24;419.69
248;2017-09-25;257.61
249;2017-09-26;518.5
250;2017-09-27;748.66
251;2017-09-28;1385.57
252;2017-09-29;654.9
253;2017-09-30;847.79
254;2017-10-01;338.38
255;2017-10-02;679.3299999999999
256;2017-10-03;218.4
257;2017-10-04;415.5
258;2017-10-05;94.88000000000001
259;2017-10-06;814.1600000000001
260;2017-10-07;730.79
261;2017-10-08;377.8
262;2017-10-09;965.6
263;2017-10-10;69.9
264;2017-10-11;300.79
265;2017-10-12;354.89
266;2017-10-13;167.7
267;2017-10-14;554.89
268;2017-10-15;812.2
269;2017-10-16;587.59
270;2017-10-17;1140.09
271;2017-10-18;246.2
272;2017-10-19;800.65
273;2017-10-20;635.99
274;2017-10-21;405.7
275;2017-10-22;811.22
276;2017-10-23;755.98
277;2017-10-24;560.35
278;2017-10-25;642.76
279;2017-10-26;387.69
280;2017-10-27;718.99
281;2017-10-28;199.79
282;2017-10-29;158.7
283;2017-10-30;479.79
284;2017-10-31;456.97999999999996
285;2017-11-01;85.0
286;2017-11-02;581.5
287;2017-11-03;1135.6499999999999
288;2017-11-04;1142.75
289;2017-11-05;565.6800000000001
290;2017-11-06;421.70000000000005
291;2017-11-07;477.6
292;2017-11-08;574.6899999999999
293;2017-11-09;1683.45
294;2017-11-10;149.3
295;2017-11-11;707.9
