index;ds;y
0;2016-10-04;9.9
1;2016-10-05;354.89
2;2016-10-06;499.99
3;2016-10-07;101.49000000000001
4;2016-10-10;161.99
5;2017-01-05;21.8
6;2017-01-16;970.39
7;2017-01-17;109.2
8;2017-01-18;117.3
9;2017-01-19;152.3
10;2017-01-20;459.8
11;2017-01-21;19.0
12;2017-01-23;595.99
13;2017-01-24;879.1
14;2017-01-25;283.79
15;2017-01-26;167.98000000000002
16;2017-01-28;347.2
17;2017-01-30;596.2
18;2017-01-31;99.98
19;2017-02-01;411.0
20;2017-02-02;59.9
21;2017-02-03;379.0
22;2017-02-04;313.38
23;2017-02-05;279.64
24;2017-02-06;542.29
25;2017-02-07;712.3000000000001
26;2017-02-08;1245.2
27;2017-02-09;1500.68
28;2017-02-10;969.83
29;2017-02-12;9.99
30;2017-02-13;961.77
31;2017-02-14;418.0
32;2017-02-15;434.97
33;2017-02-16;59.9
34;2017-02-17;448.98
35;2017-02-18;394.89
36;2017-02-19;464.70000000000005
37;2017-02-20;249.66000000000003
38;2017-02-21;416.14
39;2017-02-22;59.980000000000004
40;2017-02-23;356.8
41;2017-02-24;160.89
42;2017-02-25;169.0
43;2017-02-26;1199.9
44;2017-02-28;139.99
45;2017-03-01;455.3
46;2017-03-02;283.79
47;2017-03-03;24.49
48;2017-03-04;297.19
49;2017-03-06;588.69
50;2017-03-07;567.29
51;2017-03-08;374.59000000000003
52;2017-03-09;172.08999999999997
53;2017-03-10;208.99
54;2017-03-11;1417.3
55;2017-03-12;238.99
56;2017-03-13;39.99
57;2017-03-14;490.0
58;2017-03-15;288.59
59;2017-03-16;1199.0
60;2017-03-18;309.12
61;2017-03-19;19.9
62;2017-03-21;1539.75
63;2017-03-22;583.79
64;2017-03-23;526.5
65;2017-03-25;520.1
66;2017-03-26;290.0
67;2017-03-27;654.8
68;2017-03-28;1077.08
69;2017-03-29;20.0
70;2017-03-30;556.9
71;2017-03-31;528.7
72;2017-04-01;551.99
73;2017-04-02;1596.0
74;2017-04-03;92.96
75;2017-04-04;562.88
76;2017-04-05;1199.9
77;2017-04-06;246.99
78;2017-04-07;159.99
79;2017-04-08;316.97
80;2017-04-09;362.89
81;2017-04-10;1049.23
82;2017-04-11;396.78999999999996
83;2017-04-12;588.8
84;2017-04-13;458.23
85;2017-04-14;275.0
86;2017-04-15;818.6
87;2017-04-16;289.2
88;2017-04-17;312.8
89;2017-04-19;998.2
90;2017-04-20;192.49
91;2017-04-21;160.24
92;2017-04-22;418.9
93;2017-04-23;118.32
94;2017-04-24;371.99
95;2017-04-25;820.9
96;2017-04-26;442.70000000000005
97;2017-04-27;399.9
98;2017-04-28;1197.9
99;2017-04-29;498.57
100;2017-04-30;249.99
101;2017-05-01;119.89
102;2017-05-02;164.4
103;2017-05-03;417.67
104;2017-05-04;143.8
105;2017-05-05;400.1
106;2017-05-06;482.59
107;2017-05-07;648.2
108;2017-05-08;374.2
109;2017-05-09;1326.6000000000001
110;2017-05-10;24.49
111;2017-05-12;217.69
112;2017-05-13;936.29
113;2017-05-14;458.87
114;2017-05-15;403.68
115;2017-05-16;338.88
116;2017-05-17;1584.8000000000002
117;2017-05-18;475.9
118;2017-05-19;561.69
119;2017-05-20;94.3
120;2017-05-21;1597.85
121;2017-05-22;69.99
122;2017-05-23;360.05
123;2017-05-24;656.79
124;2017-05-25;138.9
125;2017-05-26;699.67
126;2017-05-27;1249.9
127;2017-05-28;532.8
128;2017-05-29;2633.99
129;2017-05-30;337.46999999999997
130;2017-05-31;49.8
131;2017-06-01;64.9
132;2017-06-03;214.89000000000001
133;2017-06-04;589.0
134;2017-06-05;815.9
135;2017-06-06;1401.2
136;2017-06-07;712.7
137;2017-06-08;817.53
138;2017-06-09;340.8
139;2017-06-10;477.2
140;2017-06-11;194.9
141;2017-06-12;293.5
142;2017-06-13;75.0
143;2017-06-14;4471.87
144;2017-06-15;1407.7900000000002
145;2017-06-16;2176.99
146;2017-06-17;2413.09
147;2017-06-18;4864.58
148;2017-06-19;2315.69
149;2017-06-20;495.89
150;2017-06-21;2094.94
151;2017-06-22;24.9
152;2017-06-23;280.7
153;2017-06-24;97.78999999999999
154;2017-06-25;37.0
155;2017-06-26;30.0
156;2017-06-27;807.9
157;2017-06-28;437.96000000000004
158;2017-06-29;1066.5
159;2017-06-30;314.6
160;2017-07-01;984.9
161;2017-07-03;114.9
162;2017-07-04;510.65
163;2017-07-05;276.05
164;2017-07-06;432.81
165;2017-07-07;110.89
166;2017-07-08;117.3
167;2017-07-09;285.9
168;2017-07-10;870.16
169;2017-07-11;378.29
170;2017-07-12;194.89000000000001
171;2017-07-13;248.9
172;2017-07-14;29.9
173;2017-07-15;540.4
174;2017-07-16;385.48
175;2017-07-17;757.8
176;2017-07-18;4203.68
177;2017-07-19;144.31
178;2017-07-20;579.62
179;2017-07-21;401.95
180;2017-07-23;84.85000000000001
181;2017-07-24;249.20000000000002
182;2017-07-25;359.99
183;2017-07-26;343.79
184;2017-07-27;352.9
185;2017-07-28;318.75
186;2017-07-29;153.79
187;2017-07-30;206.70000000000002
188;2017-07-31;248.1
189;2017-08-01;2321.48
190;2017-08-02;259.8
191;2017-08-03;1050.99
192;2017-08-04;731.39
193;2017-08-05;659.49
194;2017-08-06;370.74
195;2017-08-07;144.79
196;2017-08-08;291.89
197;2017-08-09;2935.34
198;2017-08-10;40.0
199;2017-08-11;299.99
200;2017-08-12;233.89000000000001
201;2017-08-13;143.8
202;2017-08-14;253.15
203;2017-08-15;287.53
204;2017-08-16;1073.66
205;2017-08-17;926.79
206;2017-08-18;388.19000000000005
207;2017-08-19;265.78999999999996
208;2017-08-20;241.70000000000002
209;2017-08-21;93.9
210;2017-08-22;179.99
211;2017-08-23;2231.2000000000003
212;2017-08-24;459.48
213;2017-08-25;645.6800000000001
214;2017-08-26;507.99
215;2017-08-27;21.99
216;2017-08-28;327.79
217;2017-08-29;691.97
218;2017-08-30;498.32
219;2017-08-31;343.9
220;2017-09-01;189.8
221;2017-09-02;239.9
222;2017-09-03;43.989999999999995
223;2017-09-04;159.9
224;2017-09-05;359.5
225;2017-09-06;1472.8
226;2017-09-08;483.8
227;2017-09-09;179.89
228;2017-09-10;229.9
229;2017-09-11;224.22
230;2017-09-12;402.70000000000005
231;2017-09-13;80.0
232;2017-09-14;447.22999999999996
233;2017-09-15;480.2
234;2017-09-16;40.0
235;2017-09-17;267.2
236;2017-09-18;269.88
237;2017-09-19;139.6
238;2017-09-20;1023.5
239;2017-09-21;310.33
240;2017-09-22;322.23
241;2017-09-23;491.07
242;2017-09-24;207.8
243;2017-09-25;335.1
244;2017-09-26;291.82
245;2017-09-27;1598.3600000000001
246;2017-09-28;1719.78
247;2017-09-29;1850.8899999999999
248;2017-09-30;265.38
249;2017-10-01;871.2
250;2017-10-02;139.8
251;2017-10-03;2277.88
252;2017-10-04;391.32
253;2017-10-05;407.79
254;2017-10-06;372.0
255;2017-10-07;769.48
256;2017-10-08;1438.8200000000002
257;2017-10-09;970.4499999999999
258;2017-10-10;1176.45
259;2017-10-11;643.86
260;2017-10-12;762.1
261;2017-10-13;669.0
262;2017-10-14;527.59
263;2017-10-15;663.0
264;2017-10-16;1812.09
265;2017-10-17;968.08
266;2017-10-18;1636.57
267;2017-10-19;525.98
268;2017-10-20;696.9
269;2017-10-21;139.0
270;2017-10-22;220.89000000000001
271;2017-10-23;469.0
272;2017-10-24;215.79000000000002
273;2017-10-25;304.03000000000003
274;2017-10-26;524.28
275;2017-10-27;609.29
276;2017-10-28;358.95
277;2017-10-29;360.61
278;2017-10-30;94.0
279;2017-10-31;403.19
280;2017-11-01;154.2
281;2017-11-02;213.29
282;2017-11-03;577.5
283;2017-11-04;2158.8900000000003
284;2017-11-05;759.0
285;2017-11-06;767.6
286;2017-11-07;633.28
287;2017-11-08;199.76999999999998
288;2017-11-09;1753.68
289;2017-11-10;273.18
290;2017-11-11;555.18
291;2017-11-12;312.0
292;2017-11-13;882.6500000000001
293;2017-11-14;336.16
294;2017-11-15;1478.98
295;2017-11-16;1218.68
296;2017-11-17;454.6
297;2017-11-18;111.4
298;2017-11-19;293.21000000000004
299;2017-11-20;1872.79
300;2017-11-21;2406.46
301;2017-11-22;1135.48
302;2017-11-23;144.88
303;2017-11-24;4794.17
304;2017-11-25;1425.95
305;2017-11-26;1777.53
306;2017-11-27;2187.58
307;2017-11-28;1979.88
308;2017-11-29;1681.6100000000001
309;2017-11-30;2196.91
310;2017-12-01;1459.97
311;2017-12-02;2117.16
312;2017-12-03;563.33
313;2017-12-04;2529.05
314;2017-12-05;545.7
315;2017-12-06;2440.07
316;2017-12-07;1800.59
317;2017-12-08;2058.29
318;2017-12-09;2001.44
319;2017-12-10;527.4000000000001
320;2017-12-11;1656.67
321;2017-12-12;2085.08
322;2017-12-13;929.7800000000001
323;2017-12-14;3304.79
324;2017-12-15;1665.78
325;2017-12-16;996.83
326;2017-12-17;850.36
327;2017-12-18;2963.27
328;2017-12-19;2153.05
329;2017-12-20;1392.5900000000001
330;2017-12-21;708.7
331;2017-12-22;450.73
332;2017-12-23;679.0
333;2017-12-24;424.99
334;2017-12-25;109.9
335;2017-12-26;801.34
336;2017-12-27;741.1
337;2017-12-28;774.1
338;2017-12-29;89.9
339;2018-01-01;245.8
340;2018-01-02;956.48
341;2018-01-03;1506.39
342;2018-01-04;675.47
343;2018-01-05;1737.89
344;2018-01-06;1179.85
345;2018-01-07;1187.0900000000001
346;2018-01-08;787.71
347;2018-01-09;963.6700000000001
348;2018-01-10;1922.5900000000001
349;2018-01-11;663.08
350;2018-01-12;580.53
351;2018-01-13;1306.94
352;2018-01-14;1107.78
353;2018-01-15;1080.09
354;2018-01-16;1995.94
355;2018-01-17;1342.68
356;2018-01-18;1703.51
357;2018-01-19;1381.31
358;2018-01-20;854.35
359;2018-01-21;2319.4
360;2018-01-22;1056.75
361;2018-01-23;485.14
362;2018-01-24;602.49
363;2018-01-25;1551.67
364;2018-01-26;1144.87
365;2018-01-27;638.2
366;2018-01-28;833.33
367;2018-01-29;1812.79
368;2018-01-30;584.4
369;2018-01-31;1646.83
370;2018-02-01;1060.63
371;2018-02-02;2498.77
372;2018-02-03;966.24
373;2018-02-04;892.48
374;2018-02-05;1610.24
375;2018-02-06;1657.3799999999999
376;2018-02-07;1869.13
377;2018-02-08;1581.5
378;2018-02-09;2303.83
379;2018-02-10;1198.79
380;2018-02-11;215.8
381;2018-02-12;807.25
382;2018-02-13;924.95
383;2018-02-14;2044.75
384;2018-02-15;2390.75
385;2018-02-16;1470.42
386;2018-02-17;1050.78
387;2018-02-18;868.39
388;2018-02-19;776.71
389;2018-02-20;4306.61
390;2018-02-21;1114.88
391;2018-02-22;1247.95
392;2018-02-23;1522.24
393;2018-02-24;1228.83
394;2018-02-25;1024.3799999999999
395;2018-02-26;1770.3700000000001
396;2018-02-27;1275.04
397;2018-02-28;1369.42
398;2018-03-01;1684.41
399;2018-03-02;730.02
400;2018-03-03;383.1
401;2018-03-04;1363.5900000000001
402;2018-03-05;1520.65
403;2018-03-06;2109.9
404;2018-03-07;1473.19
405;2018-03-08;898.39
406;2018-03-09;631.6
407;2018-03-10;2553.33
408;2018-03-11;274.3
409;2018-03-12;2200.98
410;2018-03-13;2005.58
411;2018-03-14;509.99
412;2018-03-15;2702.82
413;2018-03-16;920.48
414;2018-03-17;1402.22
415;2018-03-18;2784.23
416;2018-03-19;1351.79
417;2018-03-20;1216.66
418;2018-03-21;2144.41
419;2018-03-22;1974.26
420;2018-03-23;1900.4499999999998
421;2018-03-24;909.27
422;2018-03-25;523.08
423;2018-03-26;2263.08
424;2018-03-27;869.7
425;2018-03-28;1038.46
426;2018-03-29;1509.66
427;2018-03-30;594.5699999999999
428;2018-03-31;1637.79
429;2018-04-01;1938.74
430;2018-04-02;2420.7599999999998
431;2018-04-03;1725.6
432;2018-04-04;1478.98
433;2018-04-05;2183.28
434;2018-04-06;1263.03
435;2018-04-07;2648.88
436;2018-04-08;648.88
437;2018-04-09;6134.45
438;2018-04-10;590.07
439;2018-04-11;1297.72
440;2018-04-12;1576.08
441;2018-04-13;1666.16
442;2018-04-14;396.08
443;2018-04-15;1233.3600000000001
444;2018-04-16;3209.72
445;2018-04-17;1390.98
446;2018-04-18;1782.55
447;2018-04-19;2124.25
448;2018-04-20;427.5
449;2018-04-21;866.73
450;2018-04-22;893.1999999999999
451;2018-04-23;1170.8700000000001
452;2018-04-24;1419.58
453;2018-04-25;2245.27
454;2018-04-26;1907.78
455;2018-04-27;1161.29
456;2018-04-28;721.6
457;2018-04-29;582.75
458;2018-04-30;883.27
459;2018-05-01;1452.38
460;2018-05-02;1778.1299999999999
461;2018-05-03;1428.55
462;2018-05-04;2481.64
463;2018-05-05;737.62
464;2018-05-06;2017.1299999999999
465;2018-05-07;1286.88
466;2018-05-08;1139.48
467;2018-05-09;2186.2400000000002
468;2018-05-10;2164.96
469;2018-05-11;1422.45
470;2018-05-12;2764.21
471;2018-05-13;789.6
472;2018-05-14;3646.0699999999997
473;2018-05-15;1226.54
474;2018-05-16;1644.46
475;2018-05-17;1495.78
476;2018-05-18;2941.72
477;2018-05-19;567.69
478;2018-05-20;613.5
479;2018-05-21;973.31
480;2018-05-22;1512.37
481;2018-05-23;639.6999999999999
482;2018-05-24;584.44
483;2018-05-25;261.49
484;2018-05-26;82.4
485;2018-05-27;205.8
486;2018-05-28;1000.23
487;2018-05-29;225.29
488;2018-05-30;656.88
489;2018-05-31;924.5
490;2018-06-01;335.6
491;2018-06-02;3401.28
492;2018-06-03;2820.25
493;2018-06-04;1561.08
494;2018-06-05;901.79
495;2018-06-06;1730.18
496;2018-06-07;891.0799999999999
497;2018-06-08;732.14
