index;ds;y
0;2016-09-15;134.97
1;2016-10-04;741.1
2;2016-10-05;121.84
3;2016-10-06;370.67
4;2016-10-07;467.66
5;2016-10-08;1019.69
6;2016-10-09;255.89
7;2016-10-10;462.4
8;2017-01-06;636.0
9;2017-01-07;370.0
10;2017-01-09;109.9
11;2017-01-13;189.99
12;2017-01-15;349.9
13;2017-01-16;719.98
14;2017-01-17;349.9
15;2017-01-18;613.89
16;2017-01-19;145.0
17;2017-01-20;549.7
18;2017-01-21;28.9
19;2017-01-22;1080.5800000000002
20;2017-01-23;1206.3899999999999
21;2017-01-24;855.79
22;2017-01-25;666.75
23;2017-01-26;588.0
24;2017-01-27;604.3399999999999
25;2017-01-28;679.8
26;2017-01-29;182.8
27;2017-01-30;1166.49
28;2017-01-31;1272.34
29;2017-02-01;1359.18
30;2017-02-02;865.48
31;2017-02-03;1452.37
32;2017-02-04;3129.25
33;2017-02-05;1586.46
34;2017-02-06;1190.74
35;2017-02-07;394.99
36;2017-02-08;857.13
37;2017-02-09;386.69
38;2017-02-10;849.79
39;2017-02-11;218.79
40;2017-02-12;670.8
41;2017-02-13;1000.47
42;2017-02-14;960.5899999999999
43;2017-02-15;1245.79
44;2017-02-16;413.61
45;2017-02-18;494.89
46;2017-02-19;194.13
47;2017-02-20;980.13
48;2017-02-21;636.0
49;2017-02-22;805.8199999999999
50;2017-02-23;442.67
51;2017-02-24;1006.39
52;2017-02-25;262.99
53;2017-02-26;264.89
54;2017-02-27;19.99
55;2017-02-28;19.99
56;2017-03-01;633.62
57;2017-03-02;634.1700000000001
58;2017-03-03;665.65
59;2017-03-04;451.78999999999996
60;2017-03-05;775.89
61;2017-03-06;1008.58
62;2017-03-07;642.85
63;2017-03-08;286.79
64;2017-03-09;1187.07
65;2017-03-10;1479.85
66;2017-03-11;588.69
67;2017-03-12;443.47
68;2017-03-13;1636.99
69;2017-03-14;1904.31
70;2017-03-15;769.37
71;2017-03-16;1732.37
72;2017-03-17;853.99
73;2017-03-18;171.99
74;2017-03-19;399.98
75;2017-03-20;2145.03
76;2017-03-21;544.43
77;2017-03-22;1440.3400000000001
78;2017-03-23;1540.2
79;2017-03-24;323.89
80;2017-03-25;289.5
81;2017-03-26;89.9
82;2017-03-27;489.27
83;2017-03-28;415.95
84;2017-03-29;525.68
85;2017-03-30;250.99
86;2017-03-31;1329.85
87;2017-04-01;765.28
88;2017-04-02;766.87
89;2017-04-03;189.88
90;2017-04-04;553.6
91;2017-04-05;814.38
92;2017-04-06;360.98
93;2017-04-07;552.65
94;2017-04-08;318.78999999999996
95;2017-04-09;724.88
96;2017-04-10;674.74
97;2017-04-11;717.3199999999999
98;2017-04-12;1306.8700000000001
99;2017-04-13;1192.55
100;2017-04-14;490.8
101;2017-04-15;125.80000000000001
102;2017-04-16;417.15000000000003
103;2017-04-17;958.77
104;2017-04-18;64.99
105;2017-04-19;659.32
106;2017-04-20;986.73
107;2017-04-21;90.0
108;2017-04-22;1831.65
109;2017-04-23;1567.89
110;2017-04-24;1685.35
111;2017-04-25;255.75
112;2017-04-26;921.28
113;2017-04-27;68.89
114;2017-04-28;466.31
115;2017-04-29;1768.48
116;2017-04-30;858.39
117;2017-05-01;1462.45
118;2017-05-02;1175.19
119;2017-05-03;866.1
120;2017-05-04;1042.06
121;2017-05-05;1711.93
122;2017-05-06;2724.8
123;2017-05-07;541.53
124;2017-05-08;921.76
125;2017-05-09;879.8
126;2017-05-10;1068.23
127;2017-05-11;3930.55
128;2017-05-12;1151.21
129;2017-05-13;394.9
130;2017-05-14;1896.1299999999999
131;2017-05-15;1437.3799999999999
132;2017-05-16;794.29
133;2017-05-17;893.1800000000001
134;2017-05-18;1364.89
135;2017-05-19;2518.78
136;2017-05-21;2231.47
137;2017-05-22;4787.83
138;2017-05-23;898.67
139;2017-05-24;715.7199999999999
140;2017-05-25;222.49
141;2017-05-26;1002.49
142;2017-05-27;1549.06
143;2017-05-28;306.69
144;2017-05-29;888.76
145;2017-05-30;1101.8799999999999
146;2017-05-31;5613.9400000000005
147;2017-06-01;1475.31
148;2017-06-02;454.55
149;2017-06-03;1376.74
150;2017-06-04;1175.65
151;2017-06-05;1517.17
152;2017-06-06;1385.43
153;2017-06-07;826.4499999999999
154;2017-06-08;3635.13
155;2017-06-09;943.58
156;2017-06-10;366.39
157;2017-06-11;946.98
158;2017-06-12;683.48
159;2017-06-13;1590.76
160;2017-06-14;578.45
