index;ds;y
0;2016-10-04;178.9
1;2016-10-06;206.8
2;2016-10-07;660.4
3;2017-01-07;798.0
4;2017-01-09;349.99
5;2017-01-10;176.0
6;2017-01-15;38.9
7;2017-01-16;629.0
8;2017-01-17;66.9
9;2017-01-20;735.9
10;2017-01-21;15.8
11;2017-01-23;117.0
12;2017-01-24;164.89
13;2017-01-25;1027.89
14;2017-01-26;695.69
15;2017-01-27;315.94
16;2017-01-28;1033.8899999999999
17;2017-01-30;318.99
18;2017-01-31;372.09000000000003
19;2017-02-01;1392.8
20;2017-02-02;1192.27
21;2017-02-03;171.39
22;2017-02-04;339.88
23;2017-02-05;119.99
24;2017-02-06;1477.76
25;2017-02-07;492.68
26;2017-02-08;239.99
27;2017-02-09;510.42999999999995
28;2017-02-10;504.99
29;2017-02-12;385.0
30;2017-02-13;205.98000000000002
31;2017-02-14;620.05
32;2017-02-15;279.88
33;2017-02-16;219.99
34;2017-02-17;179.86
35;2017-02-18;498.97
36;2017-02-19;75.99
37;2017-02-20;598.4
38;2017-02-22;643.99
39;2017-02-23;159.89
40;2017-02-24;335.84000000000003
41;2017-02-25;199.8
42;2017-02-27;69.99
43;2017-02-28;1538.79
44;2017-03-01;1160.37
45;2017-03-02;588.9
46;2017-03-03;1221.79
47;2017-03-04;449.0
48;2017-03-05;104.8
49;2017-03-06;544.78
50;2017-03-07;403.89
51;2017-03-08;1345.58
52;2017-03-09;1049.79
53;2017-03-10;379.98
54;2017-03-11;119.99
55;2017-03-12;558.97
56;2017-03-13;758.97
57;2017-03-14;1251.87
58;2017-03-15;978.59
59;2017-03-16;279.0
60;2017-03-17;989.98
61;2017-03-18;324.79
62;2017-03-19;359.97
63;2017-03-20;1328.67
64;2017-03-21;469.87
65;2017-03-22;883.8
66;2017-03-23;1098.88
67;2017-03-24;629.85
68;2017-03-25;229.88
69;2017-03-26;207.9
70;2017-03-27;1175.72
71;2017-03-28;736.87
72;2017-03-29;58.99
73;2017-03-30;816.89
74;2017-04-01;2253.99
75;2017-04-02;99.9
76;2017-04-03;109.80000000000001
77;2017-04-04;1077.8
78;2017-04-05;1325.3700000000001
79;2017-04-06;673.48
80;2017-04-07;199.99
81;2017-04-08;778.88
82;2017-04-09;124.96999999999998
83;2017-04-10;1358.27
84;2017-04-11;1027.77
85;2017-04-12;739.95
86;2017-04-13;229.98000000000002
87;2017-04-14;1118.8799999999999
88;2017-04-15;199.98
89;2017-04-16;99.99
90;2017-04-17;476.78000000000003
91;2017-04-18;969.0
92;2017-04-19;588.98
93;2017-04-20;1047.89
94;2017-04-21;449.97
95;2017-04-22;511.89
96;2017-04-23;649.27
97;2017-04-24;988.86
98;2017-04-25;543.96
99;2017-04-26;861.1800000000001
100;2017-04-27;1484.8600000000001
101;2017-04-28;184.89
102;2017-04-29;329.98
103;2017-04-30;395.88
104;2017-05-01;369.93
105;2017-05-02;1016.88
106;2017-05-03;658.86
107;2017-05-04;2325.75
108;2017-05-05;730.29
109;2017-05-06;736.07
110;2017-05-07;739.75
111;2017-05-08;1555.31
112;2017-05-09;863.92
113;2017-05-10;1318.35
114;2017-05-11;929.84
115;2017-05-12;870.96
116;2017-05-13;474.88
117;2017-05-14;819.75
118;2017-05-15;845.68
119;2017-05-16;1592.21
120;2017-05-17;856.46
121;2017-05-18;902.75
122;2017-05-19;1829.49
123;2017-05-20;849.17
124;2017-05-21;1708.8500000000001
125;2017-05-22;1830.29
126;2017-05-23;1064.58
127;2017-05-24;2149.19
128;2017-05-25;1217.68
129;2017-05-26;219.99
130;2017-05-27;801.79
131;2017-05-28;259.89
132;2017-05-29;1176.35
133;2017-05-30;609.85
134;2017-05-31;1156.8400000000001
135;2017-06-01;1979.86
136;2017-06-02;4364.72
137;2017-06-03;689.85
138;2017-06-04;778.87
139;2017-06-05;3384.74
140;2017-06-06;1757.03
141;2017-06-07;748.1899999999999
142;2017-06-08;335.89
143;2017-06-09;1148.08
144;2017-06-11;1314.48
145;2017-06-12;1103.0
146;2017-06-13;1664.53
147;2017-06-14;1057.18
148;2017-06-15;689.76
149;2017-06-16;1233.43
150;2017-06-17;279.88
151;2017-06-18;485.69
152;2017-06-19;961.27
153;2017-06-20;1056.88
154;2017-06-21;1224.67
155;2017-06-22;775.68
156;2017-06-23;1011.31
157;2017-06-24;895.48
158;2017-06-25;3455.3399999999997
159;2017-06-26;713.89
160;2017-06-27;936.27
161;2017-06-28;825.74
162;2017-06-29;1247.83
163;2017-06-30;1990.07
164;2017-07-01;1358.78
165;2017-07-02;1302.94
166;2017-07-03;2574.65
167;2017-07-04;142.88
168;2017-07-05;2983.13
169;2017-07-06;2104.44
170;2017-07-07;1141.87
171;2017-07-08;1251.85
172;2017-07-09;428.98
173;2017-07-10;2515.63
174;2017-07-11;1680.3899999999999
175;2017-07-12;737.53
176;2017-07-13;929.46
177;2017-07-14;1849.83
178;2017-07-15;735.95
179;2017-07-16;743.76
180;2017-07-17;1149.05
181;2017-07-18;1426.65
182;2017-07-19;759.1600000000001
183;2017-07-20;629.6700000000001
184;2017-07-21;864.03
185;2017-07-22;942.01
186;2017-07-23;1921.83
187;2017-07-24;1248.25
188;2017-07-25;674.88
189;2017-07-26;174.99
190;2017-07-27;724.68
191;2017-07-28;1253.8700000000001
192;2017-07-29;799.86
193;2017-07-30;1121.68
194;2017-07-31;480.78000000000003
195;2017-08-01;2364.21
196;2017-08-02;799.63
197;2017-08-03;1428.3400000000001
198;2017-08-04;667.36
199;2017-08-05;531.1
200;2017-08-06;1180.26
201;2017-08-07;2032.1200000000001
202;2017-08-08;1013.26
203;2017-08-09;2109.71
204;2017-08-10;1503.46
205;2017-08-11;2781.75
206;2017-08-12;2006.69
207;2017-08-13;1350.94
208;2017-08-14;946.67
209;2017-08-15;1232.68
210;2017-08-16;831.76
211;2017-08-17;1782.75
212;2017-08-18;1168.6299999999999
213;2017-08-19;838.96
214;2017-08-20;463.69
215;2017-08-21;1225.98
216;2017-08-22;2202.59
217;2017-08-23;545.96
218;2017-08-24;829.86
219;2017-08-25;889.87
220;2017-08-26;428.89
221;2017-08-27;1620.8
222;2017-08-28;1125.8700000000001
223;2017-08-29;419.9
224;2017-08-30;1564.43
225;2017-08-31;376.39
226;2017-09-01;1141.8
227;2017-09-02;842.88
228;2017-09-03;2738.76
229;2017-09-04;195.70000000000002
230;2017-09-05;895.6800000000001
231;2017-09-06;580.78
232;2017-09-07;1789.18
233;2017-09-08;1008.5
234;2017-09-09;784.95
235;2017-09-10;1443.49
236;2017-09-11;792.76
237;2017-09-12;1566.75
238;2017-09-13;1916.77
239;2017-09-14;1353.76
240;2017-09-15;69.99
241;2017-09-16;989.8
242;2017-09-17;1715.79
243;2017-09-18;1371.6100000000001
244;2017-09-19;2892.76
245;2017-09-20;2280.87
246;2017-09-21;1093.7
247;2017-09-22;817.72
248;2017-09-23;768.59
249;2017-09-24;685.0
250;2017-09-25;1738.29
251;2017-09-26;1170.58
252;2017-09-27;571.58
253;2017-09-28;1962.8700000000001
254;2017-09-29;1974.67
255;2017-09-30;391.89
256;2017-10-01;475.39
257;2017-10-02;1442.76
258;2017-10-03;687.89
259;2017-10-04;2279.23
260;2017-10-05;569.86
261;2017-10-06;2109.77
262;2017-10-07;824.66
263;2017-10-08;589.78
264;2017-10-09;1899.6299999999999
265;2017-10-10;1420.44
266;2017-10-11;1318.96
267;2017-10-12;740.6800000000001
268;2017-10-13;1610.8899999999999
269;2017-10-14;2023.58
270;2017-10-15;1214.68
271;2017-10-16;3157.65
272;2017-10-17;2199.48
273;2017-10-18;1195.18
274;2017-10-19;1676.99
275;2017-10-20;1566.66
276;2017-10-21;1192.57
277;2017-10-22;435.79
278;2017-10-23;1392.75
279;2017-10-24;2215.48
280;2017-10-25;1907.5700000000002
281;2017-10-26;2214.84
282;2017-10-27;1728.23
283;2017-10-28;440.97
284;2017-10-29;802.77
285;2017-10-30;2589.13
286;2017-10-31;423.97
287;2017-11-01;1221.87
288;2017-11-02;1923.74
289;2017-11-03;1565.6799999999998
290;2017-11-04;1772.0
291;2017-11-05;2048.43
292;2017-11-06;2622.74
293;2017-11-07;1488.77
294;2017-11-08;1574.77
295;2017-11-09;827.6800000000001
296;2017-11-10;1162.68
297;2017-11-11;2447.44
298;2017-11-12;2113.73
299;2017-11-13;2086.75
300;2017-11-14;842.19
301;2017-11-15;2147.85
302;2017-11-16;751.27
303;2017-11-17;1565.65
304;2017-11-18;2057.57
305;2017-11-19;1103.77
306;2017-11-20;4675.78
307;2017-11-21;1899.57
308;2017-11-22;1158.85
309;2017-11-23;2569.74
310;2017-11-24;5724.53
311;2017-11-25;1866.23
312;2017-11-26;1212.52
313;2017-11-27;1958.85
314;2017-11-28;1598.16
315;2017-11-29;948.36
316;2017-11-30;759.49
317;2017-12-01;1110.96
318;2017-12-02;1236.53
319;2017-12-03;1461.65
320;2017-12-04;1347.96
321;2017-12-05;3596.91
322;2017-12-06;3975.11
323;2017-12-07;784.12
324;2017-12-08;2333.63
325;2017-12-09;2183.96
326;2017-12-10;742.78
327;2017-12-11;1750.47
328;2017-12-12;1481.53
329;2017-12-13;1112.3600000000001
330;2017-12-14;1181.85
331;2017-12-15;1088.77
332;2017-12-16;792.78
333;2017-12-17;1099.87
334;2017-12-18;750.86
335;2017-12-19;1288.8400000000001
336;2017-12-20;373.88
337;2017-12-21;844.15
338;2017-12-22;70.0
339;2017-12-23;634.88
340;2017-12-24;842.8499999999999
341;2017-12-25;166.99
342;2017-12-26;1026.8700000000001
343;2017-12-27;1009.78
344;2017-12-28;754.78
345;2017-12-29;1013.75
346;2017-12-30;861.9200000000001
347;2017-12-31;594.78
348;2018-01-01;679.86
349;2018-01-02;1174.8400000000001
350;2018-01-03;974.87
351;2018-01-04;2934.39
352;2018-01-05;1039.45
353;2018-01-06;1100.04
354;2018-01-07;1037.25
355;2018-01-08;1027.3500000000001
356;2018-01-09;1591.26
357;2018-01-10;1023.1700000000001
358;2018-01-11;1747.32
359;2018-01-12;375.97
360;2018-01-13;1089.24
361;2018-01-14;1773.65
362;2018-01-15;2080.9700000000003
363;2018-01-16;1926.42
364;2018-01-17;2046.38
365;2018-01-18;1678.06
366;2018-01-19;1018.35
367;2018-01-20;384.19
368;2018-01-21;501.39
369;2018-01-22;1126.3400000000001
370;2018-01-23;2493.4700000000003
371;2018-01-24;894.89
372;2018-01-25;1763.59
373;2018-01-26;557.75
374;2018-01-27;1268.98
375;2018-01-28;741.79
376;2018-01-29;1293.76
377;2018-01-30;644.64
378;2018-01-31;952.78
379;2018-02-01;1842.06
380;2018-02-02;244.98000000000002
381;2018-02-03;434.89
382;2018-02-04;487.64000000000004
383;2018-02-05;526.99
384;2018-02-06;877.21
385;2018-02-07;1243.35
386;2018-02-08;391.79
387;2018-02-09;780.95
388;2018-02-10;518.99
389;2018-02-11;1423.97
390;2018-02-12;1512.96
391;2018-02-13;1751.76
392;2018-02-14;748.97
393;2018-02-15;1530.67
394;2018-02-16;708.97
395;2018-02-17;1804.77
396;2018-02-18;1302.95
397;2018-02-19;557.63
398;2018-02-20;2157.07
399;2018-02-21;1979.67
400;2018-02-22;1059.95
401;2018-02-23;535.77
402;2018-02-24;846.4300000000001
403;2018-02-25;1449.38
404;2018-02-26;753.95
405;2018-02-27;645.86
406;2018-02-28;1652.67
407;2018-03-01;1188.95
408;2018-03-02;1078.78
409;2018-03-03;777.38
410;2018-03-04;1366.77
411;2018-03-05;1267.86
412;2018-03-06;1346.95
413;2018-03-07;1443.98
414;2018-03-08;951.86
415;2018-03-09;751.0
416;2018-03-10;2517.7400000000002
417;2018-03-11;783.11
418;2018-03-12;858.87
419;2018-03-13;873.97
420;2018-03-14;535.95
421;2018-03-15;1631.19
422;2018-03-16;822.35
423;2018-03-17;860.87
424;2018-03-18;1034.57
425;2018-03-19;1635.86
426;2018-03-20;1476.78
427;2018-03-21;2205.87
428;2018-03-22;1462.93
429;2018-03-23;947.37
430;2018-03-24;1306.89
431;2018-03-25;1049.55
432;2018-03-26;1643.79
433;2018-03-27;1840.8500000000001
434;2018-03-28;1318.76
435;2018-03-29;878.77
436;2018-03-30;302.70000000000005
437;2018-03-31;1389.97
438;2018-04-01;131.99
439;2018-04-02;1499.17
440;2018-04-03;705.58
441;2018-04-04;1383.47
442;2018-04-05;1882.18
443;2018-04-06;879.88
444;2018-04-07;1702.79
445;2018-04-08;346.0
446;2018-04-09;1108.68
447;2018-04-10;1384.17
448;2018-04-11;2250.7
449;2018-04-12;591.97
450;2018-04-13;1030.93
451;2018-04-14;911.97
452;2018-04-15;703.1700000000001
453;2018-04-16;1213.78
454;2018-04-17;3089.7099999999996
455;2018-04-18;1398.96
456;2018-04-19;1024.85
457;2018-04-20;1365.21
458;2018-04-21;1026.97
459;2018-04-22;386.88
460;2018-04-23;889.38
461;2018-04-24;1463.75
462;2018-04-25;877.09
463;2018-04-26;1508.47
464;2018-04-27;1011.99
465;2018-04-28;976.98
466;2018-04-29;647.89
467;2018-04-30;1630.8500000000001
468;2018-05-01;2275.68
469;2018-05-02;907.96
470;2018-05-03;1478.8600000000001
471;2018-05-04;1596.67
472;2018-05-05;1433.96
473;2018-05-06;1194.96
474;2018-05-07;1323.79
475;2018-05-08;570.87
476;2018-05-09;1660.94
477;2018-05-10;1313.87
478;2018-05-11;906.96
479;2018-05-12;954.89
480;2018-05-13;903.78
481;2018-05-14;3237.51
482;2018-05-15;669.62
483;2018-05-16;2718.87
484;2018-05-17;771.95
485;2018-05-18;345.78000000000003
486;2018-05-19;324.98
487;2018-05-20;479.78
488;2018-05-21;169.99
489;2018-05-22;279.89
490;2018-05-23;677.9
491;2018-05-24;1049.85
492;2018-05-26;779.69
493;2018-05-27;546.79
494;2018-05-28;146.65
495;2018-05-29;1069.68
496;2018-05-30;157.0
497;2018-06-01;269.99
498;2018-06-02;334.88
499;2018-06-03;882.99
500;2018-06-04;277.25
501;2018-06-05;17.8
502;2018-06-06;464.0
503;2018-06-07;301.99
504;2018-06-08;338.0
505;2018-06-09;907.6800000000001
506;2018-06-10;564.98
507;2018-06-11;2909.8699999999994
508;2018-06-12;1147.97
509;2018-06-13;459.38
510;2018-06-14;1013.4
511;2018-06-15;609.88
512;2018-06-16;209.99
513;2018-06-17;274.89
514;2018-06-18;109.13
515;2018-06-19;903.89
516;2018-06-20;844.89
517;2018-06-21;930.79
518;2018-06-23;728.88
519;2018-06-24;924.78
520;2018-06-25;560.69
521;2018-06-26;1053.3
522;2018-06-27;685.36
523;2018-06-28;632.79
524;2018-06-29;507.05
525;2018-06-30;449.88
526;2018-07-01;611.42
527;2018-07-02;488.79999999999995
528;2018-07-03;344.8
529;2018-07-04;610.13
530;2018-07-05;506.98
531;2018-07-06;416.69
532;2018-07-07;34.99
533;2018-07-08;65.0
534;2018-07-09;996.27
535;2018-07-10;508.98
536;2018-07-11;1248.75
537;2018-07-12;241.9
538;2018-07-13;89.99
539;2018-07-14;607.48
540;2018-07-15;428.99
541;2018-07-16;513.88
542;2018-07-17;237.9
543;2018-07-18;485.68
544;2018-07-19;1204.02
545;2018-07-20;503.79
546;2018-07-21;189.65
547;2018-07-22;754.98
548;2018-07-23;1198.6
549;2018-07-24;3619.87
550;2018-07-25;1417.09
551;2018-07-26;31.99
552;2018-07-27;725.1700000000001
553;2018-07-28;139.0
554;2018-07-29;1056.0900000000001
555;2018-07-30;1018.36
556;2018-07-31;854.77
557;2018-08-01;685.9
558;2018-08-02;832.1999999999999
559;2018-08-03;352.8
560;2018-08-04;953.95
561;2018-08-05;824.88
562;2018-08-06;794.7
563;2018-08-07;2026.69
564;2018-08-08;396.68
565;2018-08-09;977.17
566;2018-08-10;361.98
567;2018-08-11;344.18
568;2018-08-12;313.9
569;2018-08-13;573.29
570;2018-08-14;871.1999999999999
571;2018-08-15;1467.1799999999998
572;2018-08-16;521.99
573;2018-08-17;89.9
574;2018-08-18;517.58
575;2018-08-19;242.9
576;2018-08-20;495.19000000000005
577;2018-08-21;625.37
578;2018-08-22;268.9
579;2018-08-23;591.8
580;2018-08-25;223.29000000000002
581;2018-08-26;199.0
582;2018-08-27;122.28
583;2018-08-28;119.99
