index;ds;y
0;2016-10-03;194.8
1;2016-10-04;1075.89
2;2016-10-05;387.71000000000004
3;2016-10-06;278.78000000000003
4;2016-10-07;635.13
5;2016-10-08;1290.07
6;2016-10-09;619.88
7;2016-10-10;1208.26
8;2017-01-07;34.9
9;2017-01-09;77.0
10;2017-01-10;64.9
11;2017-01-11;17.5
12;2017-01-12;574.5
13;2017-01-13;159.8
14;2017-01-14;498.40000000000003
15;2017-01-15;547.1
16;2017-01-16;445.5
17;2017-01-17;599.0
18;2017-01-18;292.39
19;2017-01-19;1218.48
20;2017-01-20;629.1800000000001
21;2017-01-21;867.09
22;2017-01-22;657.58
23;2017-01-23;274.08
24;2017-01-24;249.76
25;2017-01-25;732.19
26;2017-01-26;1294.28
27;2017-01-27;1039.75
28;2017-01-28;449.98
29;2017-01-29;494.8
30;2017-01-30;833.4000000000001
31;2017-01-31;985.07
32;2017-02-01;875.36
33;2017-02-02;630.45
34;2017-02-03;885.0699999999999
35;2017-02-04;768.39
36;2017-02-05;1460.69
37;2017-02-06;876.52
38;2017-02-07;1060.49
39;2017-02-08;847.24
40;2017-02-09;800.44
41;2017-02-10;180.39999999999998
42;2017-02-11;788.99
43;2017-02-12;325.79
44;2017-02-13;862.78
45;2017-02-14;1119.87
46;2017-02-15;941.73
47;2017-02-16;421.39
48;2017-02-17;736.67
49;2017-02-18;341.59000000000003
50;2017-02-19;373.29
51;2017-02-20;567.7
52;2017-02-21;225.14
53;2017-02-22;838.01
54;2017-02-23;775.8
55;2017-02-24;470.42
56;2017-02-25;958.29
57;2017-02-26;891.89
58;2017-02-27;608.66
59;2017-02-28;293.35
60;2017-03-01;1017.9200000000001
61;2017-03-02;1019.5500000000001
62;2017-03-03;774.89
63;2017-03-04;1131.85
64;2017-03-05;1308.51
65;2017-03-06;1250.99
66;2017-03-07;432.54
67;2017-03-08;384.85
68;2017-03-09;948.9300000000001
69;2017-03-10;856.0
70;2017-03-11;98.25
71;2017-03-12;697.01
72;2017-03-13;1137.9
73;2017-03-14;629.1700000000001
74;2017-03-15;899.46
75;2017-03-16;395.79
76;2017-03-17;746.15
77;2017-03-18;317.69000000000005
78;2017-03-19;522.6
79;2017-03-20;840.36
80;2017-03-21;668.09
81;2017-03-22;412.55
82;2017-03-23;390.39
83;2017-03-24;706.33
84;2017-03-25;1091.2
85;2017-03-26;597.89
86;2017-03-27;975.13
87;2017-03-28;337.53000000000003
88;2017-03-29;741.0500000000001
89;2017-03-30;365.5
90;2017-03-31;241.60000000000002
91;2017-04-01;356.0
92;2017-04-02;379.0
93;2017-04-03;420.19
94;2017-04-04;569.08
95;2017-04-05;478.39
96;2017-04-06;324.1
97;2017-04-07;236.14999999999998
98;2017-04-08;493.89
99;2017-04-09;437.04999999999995
100;2017-04-10;487.25
101;2017-04-11;493.34
102;2017-04-13;850.88
103;2017-04-14;606.39
104;2017-04-15;1003.89
105;2017-04-16;408.70000000000005
106;2017-04-17;609.22
107;2017-04-18;656.9
108;2017-04-19;1005.39
109;2017-04-20;492.57
110;2017-04-21;1883.29
111;2017-04-22;452.64
112;2017-04-23;191.70000000000002
113;2017-04-24;1143.39
114;2017-04-25;1457.15
115;2017-04-26;513.19
116;2017-04-27;114.9
117;2017-04-28;961.74
118;2017-04-29;1059.28
119;2017-04-30;1125.57
120;2017-05-01;932.56
121;2017-05-02;298.44
122;2017-05-03;545.7
123;2017-05-04;310.23
124;2017-05-05;700.66
125;2017-05-06;813.14
126;2017-05-07;788.48
127;2017-05-08;846.84
128;2017-05-09;275.69
129;2017-05-10;216.78
130;2017-05-11;388.54
131;2017-05-12;1236.47
132;2017-05-13;955.56
133;2017-05-14;413.15
134;2017-05-15;2282.74
135;2017-05-16;922.65
136;2017-05-17;739.09
137;2017-05-18;498.49
138;2017-05-19;1145.67
139;2017-05-20;327.70000000000005
140;2017-05-21;685.1
141;2017-05-22;839.74
142;2017-05-23;683.95
143;2017-05-24;413.3
144;2017-05-25;649.1800000000001
145;2017-05-26;622.5899999999999
146;2017-05-27;923.7
147;2017-05-28;587.5
148;2017-05-29;964.98
149;2017-05-30;1104.83
150;2017-05-31;199.09
151;2017-06-01;499.19
152;2017-06-02;414.28
153;2017-06-03;427.8
154;2017-06-04;618.0
155;2017-06-05;801.1
156;2017-06-06;485.26
157;2017-06-07;238.65
158;2017-06-08;94.89
159;2017-06-09;910.92
160;2017-06-10;241.79000000000002
161;2017-06-11;310.76
162;2017-06-12;228.79000000000002
163;2017-06-13;789.16
164;2017-06-14;621.89
165;2017-06-15;288.31
166;2017-06-16;139.8
167;2017-06-17;53.9
168;2017-06-18;296.68
169;2017-06-19;1168.21
170;2017-06-20;1251.97
171;2017-06-21;8.85
172;2017-06-22;333.7
173;2017-06-23;260.1
174;2017-06-24;207.99
175;2017-06-25;1496.33
176;2017-06-26;300.8
177;2017-06-27;546.46
178;2017-06-28;2034.14
179;2017-06-29;811.63
180;2017-06-30;732.94
181;2017-07-01;1282.05
182;2017-07-02;993.98
183;2017-07-03;2236.31
184;2017-07-04;548.51
185;2017-07-05;868.3
186;2017-07-06;398.95
187;2017-07-07;569.44
188;2017-07-08;635.31
189;2017-07-09;986.8000000000001
190;2017-07-10;767.18
191;2017-07-11;667.0
192;2017-07-12;608.66
193;2017-07-13;625.0699999999999
194;2017-07-14;718.5
195;2017-07-15;562.39
196;2017-07-16;366.58
197;2017-07-17;775.75
198;2017-07-18;1012.1800000000001
199;2017-07-19;742.79
200;2017-07-20;693.3
201;2017-07-21;203.7
202;2017-07-22;410.36
203;2017-07-23;612.5600000000001
204;2017-07-24;486.52000000000004
205;2017-07-25;461.42
206;2017-07-26;623.07
207;2017-07-27;348.04
208;2017-07-28;1838.08
209;2017-07-29;1045.6
210;2017-07-30;1280.63
211;2017-07-31;659.09
212;2017-08-01;1172.68
213;2017-08-02;805.39
214;2017-08-03;1084.62
215;2017-08-04;1353.24
216;2017-08-05;496.40999999999997
217;2017-08-06;1599.79
218;2017-08-07;775.73
219;2017-08-08;1658.28
220;2017-08-09;1089.23
221;2017-08-10;438.37
222;2017-08-11;1555.22
223;2017-08-12;615.15
224;2017-08-13;229.69
225;2017-08-14;1483.96
226;2017-08-15;1694.5500000000002
227;2017-08-16;632.65
228;2017-08-17;1268.15
229;2017-08-18;970.58
230;2017-08-19;1309.42
231;2017-08-20;1273.21
232;2017-08-21;1782.69
233;2017-08-22;918.71
234;2017-08-23;1538.06
235;2017-08-24;628.23
236;2017-08-25;829.32
237;2017-08-26;830.01
238;2017-08-27;929.6800000000001
239;2017-08-28;1195.4
240;2017-08-29;1360.55
241;2017-08-30;1118.38
242;2017-08-31;958.54
243;2017-09-01;1556.67
244;2017-09-02;533.27
245;2017-09-03;455.95
246;2017-09-04;1457.12
247;2017-09-05;1094.3
248;2017-09-06;780.5
249;2017-09-07;968.19
250;2017-09-08;647.6
251;2017-09-09;1490.23
252;2017-09-10;1186.95
253;2017-09-11;2159.57
254;2017-09-12;2044.46
255;2017-09-13;1209.1100000000001
256;2017-09-14;1035.8
257;2017-09-15;656.99
258;2017-09-16;1398.38
259;2017-09-17;696.28
260;2017-09-18;1015.27
261;2017-09-19;1272.15
262;2017-09-20;1655.19
263;2017-09-21;1337.95
264;2017-09-22;474.49
265;2017-09-23;339.59
266;2017-09-24;1037.26
267;2017-09-25;734.36
268;2017-09-26;1136.71
269;2017-09-27;826.61
270;2017-09-28;466.43
271;2017-09-29;326.3
272;2017-09-30;561.24
273;2017-10-01;604.2
274;2017-10-02;504.89
275;2017-10-03;932.1800000000001
276;2017-10-04;849.5
277;2017-10-05;942.4
278;2017-10-06;621.4
279;2017-10-07;1185.1100000000001
280;2017-10-08;715.27
281;2017-10-09;852.09
282;2017-10-10;829.05
283;2017-10-11;838.85
284;2017-10-12;823.74
285;2017-10-13;1527.23
286;2017-10-14;1139.27
287;2017-10-15;814.79
288;2017-10-16;845.53
289;2017-10-17;1554.19
290;2017-10-18;1097.69
291;2017-10-19;1000.1
292;2017-10-20;984.99
293;2017-10-21;1759.78
294;2017-10-22;1180.28
295;2017-10-23;1093.41
296;2017-10-24;557.06
297;2017-10-25;309.6
298;2017-10-26;1001.48
299;2017-10-27;970.8
300;2017-10-28;741.0
301;2017-10-29;1347.08
302;2017-10-30;1255.89
303;2017-10-31;1130.89
304;2017-11-01;287.8
305;2017-11-02;653.58
306;2017-11-03;1389.7
307;2017-11-04;649.3499999999999
308;2017-11-05;340.68
309;2017-11-06;1296.27
310;2017-11-07;630.04
311;2017-11-08;1420.82
312;2017-11-09;955.28
313;2017-11-10;2023.67
314;2017-11-11;710.38
315;2017-11-12;1341.18
316;2017-11-13;1079.95
317;2017-11-14;2404.39
318;2017-11-15;1517.6100000000001
319;2017-11-16;1307.28
320;2017-11-17;2061.67
321;2017-11-18;1091.3
322;2017-11-19;1393.68
323;2017-11-20;2292.49
324;2017-11-21;2389.87
325;2017-11-22;867.36
326;2017-11-23;2560.08
327;2017-11-24;11534.22
328;2017-11-25;4688.56
329;2017-11-26;2720.2
330;2017-11-27;4222.13
331;2017-11-28;3290.23
332;2017-11-29;3354.47
333;2017-11-30;1617.03
334;2017-12-01;2233.25
335;2017-12-02;1380.16
336;2017-12-03;587.38
337;2017-12-04;2353.4300000000003
338;2017-12-05;1583.96
339;2017-12-06;1193.79
340;2017-12-07;1457.48
341;2017-12-08;1143.3
342;2017-12-09;729.58
343;2017-12-10;286.70000000000005
344;2017-12-11;643.3
345;2017-12-12;1946.3500000000001
346;2017-12-13;831.99
347;2017-12-14;403.29
348;2017-12-15;874.7900000000001
349;2017-12-16;645.47
350;2017-12-17;1334.44
351;2017-12-18;2317.7
352;2017-12-19;1539.01
353;2017-12-20;602.48
354;2017-12-21;1242.35
355;2017-12-22;359.13
356;2017-12-23;390.3
357;2017-12-24;505.28
358;2017-12-25;960.4
359;2017-12-26;1234.4
360;2017-12-27;613.8
361;2017-12-28;178.49
362;2017-12-29;463.4
363;2017-12-30;610.49
364;2017-12-31;427.20000000000005
365;2018-01-01;232.8
366;2018-01-02;1011.89
367;2018-01-03;1625.0
368;2018-01-04;2859.85
369;2018-01-05;1748.2900000000002
370;2018-01-06;2603.67
371;2018-01-07;2794.12
372;2018-01-08;1986.3600000000001
373;2018-01-09;1352.3
374;2018-01-10;2928.29
375;2018-01-11;1334.69
376;2018-01-12;2254.95
377;2018-01-13;1370.54
378;2018-01-14;1238.08
379;2018-01-15;3383.41
380;2018-01-16;2835.6
381;2018-01-17;2004.92
382;2018-01-18;2266.71
383;2018-01-19;1666.74
384;2018-01-20;1520.79
385;2018-01-21;1673.7
386;2018-01-22;1416.75
387;2018-01-23;2376.23
388;2018-01-24;1540.39
389;2018-01-25;1444.04
390;2018-01-26;1555.84
391;2018-01-27;507.16
392;2018-01-28;1300.85
393;2018-01-29;1365.59
394;2018-01-30;244.67000000000002
395;2018-01-31;1354.5900000000001
396;2018-02-01;688.4
397;2018-02-02;1432.42
398;2018-02-03;562.6
399;2018-02-04;1685.05
400;2018-02-05;2306.18
401;2018-02-06;1368.57
402;2018-02-07;306.79
403;2018-02-08;1049.48
404;2018-02-09;396.5
405;2018-02-10;640.03
406;2018-02-11;562.09
407;2018-02-12;726.2900000000001
408;2018-02-13;1131.78
409;2018-02-14;2530.9300000000003
410;2018-02-15;1985.02
411;2018-02-16;2107.36
412;2018-02-17;1211.44
413;2018-02-18;742.62
414;2018-02-19;1692.8700000000001
415;2018-02-20;2629.77
416;2018-02-21;1766.4
417;2018-02-22;2183.18
418;2018-02-23;1654.19
419;2018-02-24;900.61
420;2018-02-25;1155.99
421;2018-02-26;1440.78
422;2018-02-27;1504.89
423;2018-02-28;1640.13
424;2018-03-01;3986.73
425;2018-03-02;1599.2
426;2018-03-03;1061.3
427;2018-03-04;1630.13
428;2018-03-05;1961.29
429;2018-03-06;2441.91
430;2018-03-07;1668.28
431;2018-03-08;3934.02
432;2018-03-09;1869.96
433;2018-03-10;1051.7
434;2018-03-11;1647.77
435;2018-03-12;1066.19
436;2018-03-13;2300.68
437;2018-03-14;827.39
438;2018-03-15;1986.5
439;2018-03-16;1470.94
440;2018-03-17;784.0
441;2018-03-18;1247.99
442;2018-03-19;2449.23
443;2018-03-20;2109.02
444;2018-03-21;1704.31
