index;ds;y
0;2016-10-03;128.9
1;2016-10-04;708.5899999999999
2;2016-10-05;1239.58
3;2016-10-06;240.88000000000002
4;2016-10-07;808.77
5;2016-10-09;649.98
6;2016-10-10;329.79999999999995
7;2017-01-05;43.8
8;2017-01-06;159.99
9;2017-01-11;129.99
10;2017-01-15;159.9
11;2017-01-17;425.78
12;2017-01-18;199.89000000000001
13;2017-01-19;34.9
14;2017-01-22;197.88
15;2017-01-23;132.89000000000001
16;2017-01-24;1116.94
17;2017-01-25;613.78
18;2017-01-26;71.65
19;2017-01-27;456.87
20;2017-01-28;111.97999999999999
21;2017-01-29;259.98
22;2017-01-30;384.98
23;2017-01-31;66.99
24;2017-02-01;226.88
25;2017-02-02;224.99
26;2017-02-03;1558.7800000000002
27;2017-02-04;229.89
28;2017-02-06;313.78999999999996
29;2017-02-07;194.94
30;2017-02-08;199.85000000000002
31;2017-02-09;88.3
32;2017-02-10;436.78
33;2017-02-11;272.69
34;2017-02-12;1913.88
35;2017-02-13;244.70000000000002
36;2017-02-14;94.39
37;2017-02-15;99.80000000000001
38;2017-02-16;194.8
39;2017-02-18;938.78
40;2017-02-19;414.89
41;2017-02-20;178.49
42;2017-02-21;201.3
43;2017-02-23;147.84
44;2017-02-24;254.99
45;2017-02-28;922.69
46;2017-03-01;633.34
47;2017-03-02;89.9
48;2017-03-03;364.66
49;2017-03-04;408.78
50;2017-03-05;104.99
51;2017-03-06;427.76
52;2017-03-07;1239.87
53;2017-03-08;101.88999999999999
54;2017-03-09;64.9
55;2017-03-10;238.78000000000003
56;2017-03-11;872.88
57;2017-03-12;237.37
58;2017-03-13;544.77
59;2017-03-14;269.97
60;2017-03-15;491.59000000000003
61;2017-03-16;441.78
62;2017-03-18;298.89
63;2017-03-19;273.8
64;2017-03-20;49.9
65;2017-03-21;431.6
66;2017-03-22;162.79
67;2017-03-23;284.88
68;2017-03-24;1049.68
69;2017-03-25;899.8
70;2017-03-26;84.99
71;2017-03-27;171.79
72;2017-03-28;739.9
73;2017-03-29;123.97999999999999
74;2017-03-30;347.68
75;2017-03-31;886.6600000000001
76;2017-04-01;54.9
77;2017-04-02;639.49
78;2017-04-03;73.89
79;2017-04-04;116.88999999999999
80;2017-04-05;1269.17
81;2017-04-06;413.7
82;2017-04-07;668.49
83;2017-04-08;382.70000000000005
84;2017-04-09;153.76999999999998
85;2017-04-10;689.77
86;2017-04-11;295.68
87;2017-04-12;812.78
88;2017-04-13;478.99
89;2017-04-14;64.9
90;2017-04-15;172.89000000000001
91;2017-04-16;36.9
92;2017-04-17;542.78
93;2017-04-18;335.99
94;2017-04-19;434.79
95;2017-04-20;189.8
96;2017-04-21;149.79
97;2017-04-22;1046.59
98;2017-04-23;216.9
99;2017-04-24;319.99
100;2017-04-25;204.7
101;2017-04-26;1048.77
102;2017-04-27;153.98000000000002
103;2017-04-28;1350.66
104;2017-04-29;249.99
105;2017-04-30;469.79
106;2017-05-01;716.4000000000001
107;2017-05-02;1117.19
108;2017-05-03;278.1
109;2017-05-04;624.77
110;2017-05-05;1137.34
111;2017-05-06;364.43
112;2017-05-07;204.7
113;2017-05-08;242.67000000000002
114;2017-05-09;643.36
115;2017-05-10;968.66
116;2017-05-11;990.09
117;2017-05-12;709.36
118;2017-05-13;291.9
119;2017-05-14;529.44
120;2017-05-15;964.36
121;2017-05-16;501.69000000000005
122;2017-05-17;810.5500000000001
123;2017-05-18;122.8
124;2017-05-19;751.57
125;2017-05-20;381.19
126;2017-05-21;533.88
127;2017-05-22;414.88
128;2017-05-23;1258.46
129;2017-05-24;849.1899999999999
130;2017-05-25;836.67
131;2017-05-26;1436.39
132;2017-05-27;712.69
133;2017-05-28;454.59000000000003
134;2017-05-29;613.48
135;2017-05-30;2260.57
136;2017-05-31;457.88
137;2017-06-01;223.7
138;2017-06-02;427.22
139;2017-06-03;985.66
140;2017-06-04;900.46
141;2017-06-05;1346.38
142;2017-06-06;235.88
143;2017-06-07;493.49
144;2017-06-08;1059.07
145;2017-06-09;176.0
146;2017-06-10;783.48
147;2017-06-11;1059.79
148;2017-06-12;497.22
149;2017-06-13;356.7
150;2017-06-14;602.98
151;2017-06-15;227.79
152;2017-06-16;1081.8
153;2017-06-17;281.89
154;2017-06-18;445.58000000000004
155;2017-06-19;788.54
156;2017-06-20;136.9
157;2017-06-22;388.88
158;2017-06-23;691.98
159;2017-06-24;158.9
160;2017-06-25;453.59000000000003
161;2017-06-26;268.9
162;2017-06-27;506.90000000000003
163;2017-06-28;74.9
164;2017-06-29;173.8
165;2017-06-30;456.27
166;2017-07-01;502.79
167;2017-07-02;609.27
168;2017-07-03;1142.88
169;2017-07-04;2347.68
170;2017-07-05;514.48
171;2017-07-06;838.5600000000001
172;2017-07-07;651.3
173;2017-07-08;343.70000000000005
174;2017-07-09;438.78
175;2017-07-10;406.87
176;2017-07-11;446.59
177;2017-07-12;1995.02
178;2017-07-13;509.46
179;2017-07-14;913.38
180;2017-07-15;313.8
181;2017-07-16;431.5
182;2017-07-17;866.1700000000001
183;2017-07-18;603.39
184;2017-07-19;539.69
185;2017-07-20;739.87
186;2017-07-21;405.7
187;2017-07-22;349.70000000000005
188;2017-07-23;827.65
189;2017-07-24;933.48
190;2017-07-25;2056.07
191;2017-07-26;424.92
192;2017-07-27;386.8
193;2017-07-28;294.6
194;2017-07-29;652.88
195;2017-07-30;896.58
196;2017-07-31;1573.28
197;2017-08-01;1224.79
198;2017-08-02;444.03
199;2017-08-03;875.19
200;2017-08-04;215.4
201;2017-08-05;615.3
202;2017-08-06;303.7
203;2017-08-07;147.69
204;2017-08-08;242.10000000000002
205;2017-08-09;996.3900000000001
206;2017-08-10;661.58
207;2017-08-11;1517.43
208;2017-08-12;224.69
209;2017-08-13;333.79
210;2017-08-14;549.78
211;2017-08-15;1175.57
212;2017-08-16;828.1700000000001
213;2017-08-17;401.0
214;2017-08-18;428.6
215;2017-08-19;144.99
216;2017-08-20;546.19
217;2017-08-21;381.49
218;2017-08-22;514.5999999999999
219;2017-08-23;355.5
220;2017-08-24;539.87
221;2017-08-25;565.89
222;2017-08-26;339.6
223;2017-08-27;328.3
224;2017-08-28;677.9
225;2017-08-29;923.98
226;2017-08-30;728.97
227;2017-08-31;442.89
228;2017-09-01;1059.47
229;2017-09-02;1098.5
230;2017-09-03;363.9
231;2017-09-04;582.2900000000001
232;2017-09-05;750.59
233;2017-09-06;469.69
234;2017-09-07;233.89
235;2017-09-08;676.99
236;2017-09-09;1000.58
237;2017-09-10;277.4
238;2017-09-11;1307.68
239;2017-09-12;1225.47
240;2017-09-13;1195.8400000000001
241;2017-09-14;955.18
242;2017-09-15;697.59
243;2017-09-16;531.72
244;2017-09-17;959.66
245;2017-09-18;2583.01
246;2017-09-19;744.37
247;2017-09-20;1831.94
248;2017-09-21;708.46
249;2017-09-22;1082.5700000000002
250;2017-09-23;1216.57
251;2017-09-24;416.68
252;2017-09-25;2016.73
253;2017-09-26;1558.82
254;2017-09-27;1466.57
255;2017-09-28;742.17
256;2017-09-29;1099.3100000000002
257;2017-09-30;753.1899999999999
258;2017-10-01;1557.97
259;2017-10-02;1324.67
260;2017-10-03;3470.31
261;2017-10-04;1277.78
262;2017-10-05;985.6600000000001
263;2017-10-06;1144.97
264;2017-10-07;638.79
265;2017-10-08;535.94
266;2017-10-09;1746.05
267;2017-10-10;1342.3600000000001
268;2017-10-11;2365.94
269;2017-10-12;1103.58
270;2017-10-13;1835.27
271;2017-10-14;676.95
272;2017-10-15;38.89
273;2017-10-16;1039.56
274;2017-10-17;410.89
275;2017-10-18;2504.18
276;2017-10-19;1077.79
277;2017-10-20;833.75
278;2017-10-21;332.29
279;2017-10-22;536.59
280;2017-10-23;1083.79
281;2017-10-24;528.77
282;2017-10-25;898.87
283;2017-10-26;840.94
284;2017-10-27;1138.59
285;2017-10-28;381.59000000000003
286;2017-10-29;897.47
287;2017-10-30;474.59
288;2017-10-31;254.68
289;2017-11-01;260.7
290;2017-11-02;1228.59
291;2017-11-03;791.8299999999999
292;2017-11-04;672.31
293;2017-11-05;1784.78
294;2017-11-06;1307.17
295;2017-11-07;590.69
296;2017-11-08;824.12
297;2017-11-09;749.4
298;2017-11-10;1292.76
299;2017-11-11;396.09000000000003
300;2017-11-12;1246.85
301;2017-11-13;836.87
302;2017-11-14;1642.18
303;2017-11-15;551.58
304;2017-11-16;1499.65
305;2017-11-17;2244.9300000000003
306;2017-11-18;2108.73
307;2017-11-19;2686.26
308;2017-11-20;3111.38
309;2017-11-21;2147.93
310;2017-11-22;1781.99
311;2017-11-23;3280.68
312;2017-11-24;7836.84
313;2017-11-25;2490.89
314;2017-11-26;4034.0
315;2017-11-27;3281.26
316;2017-11-28;3781.8
317;2017-11-29;3512.7200000000003
318;2017-11-30;4636.28
319;2017-12-01;2852.29
320;2017-12-02;3467.8
321;2017-12-03;3645.92
322;2017-12-04;5379.73
323;2017-12-05;3344.25
324;2017-12-06;3403.75
325;2017-12-07;2668.97
326;2017-12-08;1973.29
327;2017-12-09;1209.61
328;2017-12-10;3036.99
329;2017-12-11;4368.24
330;2017-12-12;3102.33
331;2017-12-13;1729.82
332;2017-12-14;1587.5800000000002
333;2017-12-15;685.79
334;2017-12-16;209.89
335;2017-12-17;828.27
336;2017-12-18;1637.5
337;2017-12-19;407.78000000000003
338;2017-12-20;405.64
339;2017-12-21;1571.08
340;2017-12-22;768.3199999999999
341;2017-12-23;894.6999999999999
342;2017-12-24;119.97999999999999
343;2017-12-25;2077.69
344;2017-12-26;1384.69
345;2017-12-27;353.6
346;2017-12-28;653.87
347;2017-12-29;458.69
348;2017-12-30;505.6
349;2017-12-31;330.9
350;2018-01-01;119.80000000000001
351;2018-01-02;225.73000000000002
352;2018-01-03;369.9
353;2018-01-04;2810.17
354;2018-01-05;1622.58
355;2018-01-06;1109.19
356;2018-01-07;284.8
357;2018-01-08;2362.64
358;2018-01-09;926.14
359;2018-01-10;1114.65
360;2018-01-11;635.87
361;2018-01-12;870.67
362;2018-01-13;349.59000000000003
363;2018-01-14;400.78
364;2018-01-15;642.58
365;2018-01-16;1357.6599999999999
366;2018-01-17;1013.6
367;2018-01-18;271.86
368;2018-01-19;648.04
369;2018-01-20;313.9
370;2018-01-21;199.99
371;2018-01-22;329.59000000000003
372;2018-01-23;89.99
373;2018-01-24;1119.58
374;2018-01-25;209.4
375;2018-01-26;336.19
376;2018-01-27;541.79
377;2018-01-28;224.5
378;2018-01-29;424.88
379;2018-01-30;311.8
380;2018-01-31;144.99
381;2018-02-01;339.78
382;2018-02-02;455.39
383;2018-02-03;194.70000000000002
384;2018-02-04;757.17
385;2018-02-05;1125.8899999999999
386;2018-02-06;645.78
387;2018-02-07;893.49
388;2018-02-08;281.5
389;2018-02-09;38.25
390;2018-02-10;10.99
391;2018-02-11;112.0
392;2018-02-12;545.6899999999999
393;2018-02-13;860.5799999999999
394;2018-02-14;230.99
395;2018-02-15;869.88
396;2018-02-16;59.9
397;2018-02-17;163.9
398;2018-02-18;663.79
399;2018-02-19;398.59000000000003
400;2018-02-20;475.88
401;2018-02-21;619.5
402;2018-02-22;248.57
403;2018-02-23;163.78
404;2018-02-24;313.29
405;2018-02-25;219.0
406;2018-02-26;2444.88
407;2018-02-27;739.59
408;2018-02-28;330.6
409;2018-03-01;609.55
410;2018-03-02;1205.0
411;2018-03-03;420.8
412;2018-03-04;447.70000000000005
413;2018-03-05;343.9
414;2018-03-06;483.79
415;2018-03-07;1172.59
416;2018-03-08;351.68
417;2018-03-09;895.7
418;2018-03-10;458.21
419;2018-03-11;876.1800000000001
420;2018-03-12;275.3
421;2018-03-13;1811.17
422;2018-03-14;1017.76
423;2018-03-15;638.66
424;2018-03-16;1505.74
425;2018-03-17;303.69
426;2018-03-18;472.58
