index;ds;y
0;2016-10-04;159.8
1;2016-10-05;169.9
2;2016-10-06;59.9
3;2016-10-09;89.38999999999999
4;2017-01-08;68.9
5;2017-01-10;114.80000000000001
6;2017-01-13;69.9
7;2017-01-15;48.9
8;2017-01-17;48.9
9;2017-01-18;68.9
10;2017-01-19;289.3
11;2017-01-20;124.9
12;2017-01-21;419.70000000000005
13;2017-01-22;149.4
14;2017-01-23;139.8
15;2017-01-24;89.9
16;2017-01-25;179.8
17;2017-01-26;292.4
18;2017-01-27;154.89
19;2017-01-28;118.80000000000001
20;2017-01-29;269.79
21;2017-01-30;705.89
22;2017-01-31;449.49
23;2017-02-01;205.70000000000002
24;2017-02-02;109.99
25;2017-02-03;179.8
26;2017-02-04;309.8
27;2017-02-05;1183.87
28;2017-02-06;955.2900000000001
29;2017-02-07;597.09
30;2017-02-08;384.92
31;2017-02-09;845.6
32;2017-02-10;666.59
33;2017-02-11;103.1
34;2017-02-12;664.1
35;2017-02-13;618.4
36;2017-02-14;1577.08
37;2017-02-15;517.1800000000001
38;2017-02-16;569.76
39;2017-02-17;762.46
40;2017-02-18;582.77
41;2017-02-19;193.98
42;2017-02-20;471.70000000000005
43;2017-02-21;500.89
44;2017-02-22;499.59000000000003
45;2017-02-23;289.6
46;2017-02-24;782.4000000000001
47;2017-02-25;419.0
48;2017-02-26;179.8
49;2017-02-27;856.37
50;2017-02-28;545.3
51;2017-03-01;1830.8600000000001
52;2017-03-02;318.6
53;2017-03-03;612.27
54;2017-03-04;561.6700000000001
55;2017-03-05;649.39
56;2017-03-06;535.49
57;2017-03-07;1249.47
58;2017-03-08;809.66
59;2017-03-09;1560.36
60;2017-03-10;602.76
61;2017-03-11;1373.82
62;2017-03-12;427.49
63;2017-03-13;817.3900000000001
64;2017-03-14;906.38
65;2017-03-15;835.07
66;2017-03-16;798.3000000000001
67;2017-03-17;684.3
68;2017-03-18;592.07
69;2017-03-19;239.8
70;2017-03-20;879.1800000000001
71;2017-03-21;417.79
72;2017-03-22;2178.38
73;2017-03-23;1241.48
74;2017-03-24;872.28
75;2017-03-25;263.78000000000003
76;2017-03-26;504.59000000000003
77;2017-03-27;944.09
78;2017-03-28;539.0
79;2017-03-29;1223.0900000000001
80;2017-03-30;390.61
81;2017-03-31;260.6
82;2017-04-01;1006.75
83;2017-04-02;1663.07
84;2017-04-03;992.7
85;2017-04-04;1345.88
86;2017-04-05;912.08
87;2017-04-06;1264.8500000000001
88;2017-04-07;686.3000000000001
89;2017-04-08;263.69
90;2017-04-09;203.0
91;2017-04-10;743.89
92;2017-04-11;456.69
93;2017-04-12;184.70000000000002
94;2017-04-13;295.9
95;2017-04-14;127.6
96;2017-04-15;395.4
97;2017-04-16;463.20000000000005
98;2017-04-17;423.70000000000005
99;2017-04-18;1738.91
100;2017-04-19;1025.3500000000001
101;2017-04-20;1150.38
102;2017-04-21;666.1
103;2017-04-22;677.36
104;2017-04-23;705.29
105;2017-04-24;1098.88
106;2017-04-25;674.0
107;2017-04-26;2751.08
108;2017-04-27;309.88
109;2017-04-28;492.28000000000003
110;2017-04-29;796.39
111;2017-04-30;577.59
112;2017-05-01;826.98
113;2017-05-02;1055.11
114;2017-05-03;1137.89
115;2017-05-04;569.3000000000001
116;2017-05-05;644.85
117;2017-05-06;592.19
118;2017-05-07;677.28
119;2017-05-08;987.69
120;2017-05-09;1420.56
121;2017-05-10;891.34
122;2017-05-11;826.19
123;2017-05-12;1118.0900000000001
124;2017-05-13;589.49
125;2017-05-14;1584.62
126;2017-05-15;774.76
127;2017-05-16;1152.98
128;2017-05-17;497.38
129;2017-05-18;601.4
130;2017-05-19;1074.7
131;2017-05-20;731.63
132;2017-05-21;1973.89
133;2017-05-22;2112.23
134;2017-05-23;1297.8
135;2017-05-24;844.1
136;2017-05-25;752.73
137;2017-05-26;1622.34
138;2017-05-27;1290.65
139;2017-05-28;1990.02
140;2017-05-29;1358.0900000000001
141;2017-05-30;605.4300000000001
142;2017-05-31;1082.89
143;2017-06-01;937.4000000000001
144;2017-06-02;1246.45
145;2017-06-03;477.40000000000003
146;2017-06-04;777.83
147;2017-06-05;1840.19
148;2017-06-06;2256.19
149;2017-06-07;846.69
150;2017-06-08;1509.8700000000001
151;2017-06-09;587.35
152;2017-06-10;489.87
153;2017-06-11;991.98
154;2017-06-12;1424.39
155;2017-06-13;754.3900000000001
156;2017-06-14;1880.93
157;2017-06-15;1715.14
158;2017-06-16;776.49
159;2017-06-17;793.73
160;2017-06-18;705.2
161;2017-06-19;1431.18
162;2017-06-20;697.48
163;2017-06-21;209.8
164;2017-06-22;680.74
165;2017-06-23;1260.15
166;2017-06-24;1300.19
167;2017-06-25;739.4000000000001
168;2017-06-26;467.59000000000003
