index;ds;y
0;2016-10-03;58.39
1;2016-10-04;698.89
2;2016-10-05;649.0
3;2016-10-06;153.7
4;2016-10-07;138.0
5;2016-10-08;71.49000000000001
6;2016-10-09;102.8
7;2016-10-10;139.88
8;2017-01-09;129.0
9;2017-01-11;209.9
10;2017-01-13;113.0
11;2017-01-14;187.8
12;2017-01-15;183.9
13;2017-01-16;28.0
14;2017-01-17;384.5
15;2017-01-18;152.9
16;2017-01-19;698.99
17;2017-01-20;160.25
18;2017-01-21;126.89000000000001
19;2017-01-22;113.0
20;2017-01-23;1172.3600000000001
21;2017-01-24;498.9
22;2017-01-25;265.9
23;2017-01-26;2968.1
24;2017-01-27;368.19
25;2017-01-28;213.5
26;2017-01-29;272.3
27;2017-01-30;332.98
28;2017-01-31;631.78
29;2017-02-01;529.89
30;2017-02-02;669.6
31;2017-02-03;573.87
32;2017-02-04;516.98
33;2017-02-05;779.06
34;2017-02-06;693.58
35;2017-02-07;1733.1499999999999
36;2017-02-08;813.2
37;2017-02-09;344.98
38;2017-02-10;299.49
39;2017-02-11;487.68
40;2017-02-12;124.39
41;2017-02-13;1808.95
42;2017-02-14;714.58
43;2017-02-15;213.8
44;2017-02-16;657.9
45;2017-02-17;69.74
46;2017-02-18;203.89000000000001
47;2017-02-19;67.98
48;2017-02-20;410.98
49;2017-02-21;1029.7
50;2017-02-22;376.78
51;2017-02-23;144.2
52;2017-02-24;488.38
53;2017-02-25;460.88
54;2017-02-26;542.79
55;2017-02-27;381.38
56;2017-02-28;492.18
57;2017-03-01;2980.29
58;2017-03-02;3039.87
59;2017-03-03;229.98
60;2017-03-04;485.69
61;2017-03-05;1093.8899999999999
62;2017-03-06;130.79
63;2017-03-07;209.88
64;2017-03-08;321.59000000000003
65;2017-03-09;879.61
66;2017-03-10;525.85
67;2017-03-11;1038.34
68;2017-03-12;330.89
69;2017-03-13;717.04
70;2017-03-14;278.99
71;2017-03-15;1321.1
72;2017-03-16;775.6800000000001
73;2017-03-17;419.49
74;2017-03-18;1741.4
75;2017-03-20;1257.2
76;2017-03-21;2009.28
77;2017-03-22;458.09000000000003
78;2017-03-23;615.97
79;2017-03-24;233.99
80;2017-03-25;388.9
81;2017-03-26;654.1
82;2017-03-27;1153.68
83;2017-03-28;484.87
84;2017-03-29;540.75
85;2017-03-30;668.29
86;2017-03-31;487.4
87;2017-04-01;274.70000000000005
88;2017-04-02;330.39
89;2017-04-03;431.6
90;2017-04-04;832.05
91;2017-04-05;1219.84
92;2017-04-06;259.6
93;2017-04-07;1145.7
94;2017-04-08;564.89
95;2017-04-09;1638.76
96;2017-04-10;617.58
97;2017-04-11;773.4
98;2017-04-12;552.17
99;2017-04-13;189.89
100;2017-04-14;547.36
101;2017-04-15;119.9
102;2017-04-16;642.08
103;2017-04-17;201.78
104;2017-04-18;598.4
105;2017-04-19;632.52
106;2017-04-20;984.38
107;2017-04-21;440.99
108;2017-04-22;2299.39
109;2017-04-23;596.39
110;2017-04-24;868.8699999999999
111;2017-04-25;953.8199999999999
112;2017-04-26;1086.68
113;2017-04-27;812.9
114;2017-04-28;1852.0500000000002
115;2017-04-29;611.29
116;2017-04-30;917.6899999999999
117;2017-05-01;842.64
118;2017-05-02;1534.3700000000001
119;2017-05-03;692.03
120;2017-05-04;1215.6200000000001
121;2017-05-05;2660.49
122;2017-05-06;1370.73
123;2017-05-07;936.48
124;2017-05-08;449.68
125;2017-05-09;793.48
126;2017-05-10;662.5
127;2017-05-11;1276.14
128;2017-05-12;708.8
129;2017-05-13;660.79
130;2017-05-14;615.36
131;2017-05-15;1492.0
132;2017-05-16;4392.88
133;2017-05-17;1037.2
134;2017-05-18;1096.8400000000001
135;2017-05-19;802.86
136;2017-05-20;815.11
137;2017-05-21;1267.67
138;2017-05-22;3056.16
139;2017-05-23;808.3800000000001
140;2017-05-24;887.88
141;2017-05-25;1273.02
142;2017-05-26;839.14
143;2017-05-27;424.6
144;2017-05-28;474.49
145;2017-05-29;592.79
146;2017-05-30;97.8
147;2017-05-31;323.8
148;2017-06-01;335.92
149;2017-06-02;1623.95
150;2017-06-03;398.78
151;2017-06-04;2612.81
152;2017-06-05;1235.67
153;2017-06-06;935.08
154;2017-06-07;1324.33
155;2017-06-08;1263.48
156;2017-06-09;2460.69
157;2017-06-10;421.79
158;2017-06-11;770.89
159;2017-06-12;174.07
160;2017-06-13;1688.72
161;2017-06-14;1878.7800000000002
162;2017-06-15;592.86
163;2017-06-16;310.54
164;2017-06-17;1440.4
165;2017-06-18;747.02
166;2017-06-19;803.19
167;2017-06-20;349.91
168;2017-06-21;148.75
169;2017-06-22;494.1
170;2017-06-23;940.75
171;2017-06-24;1428.89
172;2017-06-25;2032.7
173;2017-06-26;575.5
174;2017-06-27;659.87
175;2017-06-28;1368.79
176;2017-06-29;1694.8
177;2017-06-30;1353.9
178;2017-07-01;1255.27
179;2017-07-02;666.11
180;2017-07-03;1379.02
181;2017-07-04;1034.57
182;2017-07-05;829.87
183;2017-07-06;2328.09
184;2017-07-07;713.22
185;2017-07-08;560.59
186;2017-07-09;639.4000000000001
187;2017-07-10;1699.83
188;2017-07-11;1599.22
189;2017-07-12;2493.09
190;2017-07-13;727.99
191;2017-07-14;722.06
192;2017-07-15;333.36
193;2017-07-16;1524.01
194;2017-07-17;1158.27
195;2017-07-18;1760.14
196;2017-07-19;1211.06
197;2017-07-20;629.4200000000001
198;2017-07-21;688.32
199;2017-07-22;267.48
200;2017-07-23;817.49
201;2017-07-24;2487.29
202;2017-07-25;1941.99
203;2017-07-26;634.38
204;2017-07-27;1022.37
205;2017-07-28;1762.32
206;2017-07-29;429.37
207;2017-07-30;1440.19
208;2017-07-31;1863.04
209;2017-08-01;1418.94
210;2017-08-02;795.8
211;2017-08-03;1094.48
212;2017-08-04;1142.49
213;2017-08-05;1151.9
214;2017-08-06;1748.38
215;2017-08-07;3347.67
216;2017-08-08;1751.79
217;2017-08-09;1440.76
218;2017-08-10;2656.27
219;2017-08-11;1334.28
220;2017-08-12;529.78
221;2017-08-13;209.89
222;2017-08-14;2014.48
223;2017-08-15;2145.6
224;2017-08-16;1541.68
225;2017-08-17;1641.68
226;2017-08-18;754.5
227;2017-08-19;745.25
228;2017-08-20;406.12
229;2017-08-21;1050.3600000000001
230;2017-08-22;1712.9399999999998
231;2017-08-23;1544.98
232;2017-08-24;1296.03
233;2017-08-25;571.7
234;2017-08-26;360.18
235;2017-08-27;1848.55
236;2017-08-28;1292.6100000000001
237;2017-08-29;1225.67
238;2017-08-30;788.23
239;2017-08-31;1061.78
240;2017-09-01;2135.88
241;2017-09-02;850.5899999999999
242;2017-09-03;946.47
243;2017-09-04;1409.55
244;2017-09-05;1577.87
245;2017-09-06;3413.01
246;2017-09-07;538.7
247;2017-09-08;994.27
248;2017-09-09;791.59
249;2017-09-10;1720.99
250;2017-09-11;1951.27
251;2017-09-12;1434.38
252;2017-09-13;2047.5100000000002
253;2017-09-14;1724.79
254;2017-09-15;1237.8300000000002
255;2017-09-16;1819.96
256;2017-09-17;1035.45
257;2017-09-18;4199.7
258;2017-09-19;1892.3600000000001
259;2017-09-20;2693.65
260;2017-09-21;2849.84
261;2017-09-22;1316.42
262;2017-09-23;1168.37
263;2017-09-24;791.65
264;2017-09-25;1346.3700000000001
265;2017-09-26;2022.14
266;2017-09-27;1741.4
267;2017-09-28;1174.5
268;2017-09-29;771.37
269;2017-09-30;1374.23
270;2017-10-01;1086.08
271;2017-10-02;2138.21
272;2017-10-03;1781.03
273;2017-10-04;1872.67
274;2017-10-05;3012.65
275;2017-10-06;1718.15
276;2017-10-07;415.5
277;2017-10-08;2397.85
278;2017-10-09;2037.96
279;2017-10-10;2564.39
280;2017-10-11;1153.77
281;2017-10-12;698.27
282;2017-10-13;1231.68
283;2017-10-14;1024.17
284;2017-10-15;1655.95
285;2017-10-16;1916.27
286;2017-10-17;1711.72
287;2017-10-18;2569.08
288;2017-10-19;2057.82
289;2017-10-20;1146.2
290;2017-10-21;886.5
291;2017-10-22;1814.48
292;2017-10-23;1958.04
293;2017-10-24;1418.04
294;2017-10-25;1668.31
295;2017-10-26;1159.69
296;2017-10-27;577.98
297;2017-10-28;635.13
298;2017-10-29;956.44
299;2017-10-30;1519.95
300;2017-10-31;1785.0
301;2017-11-01;1809.07
302;2017-11-02;2049.62
303;2017-11-03;2077.7
304;2017-11-04;959.4
305;2017-11-05;930.5600000000001
306;2017-11-06;1183.99
307;2017-11-07;1320.96
308;2017-11-08;544.28
309;2017-11-09;1535.06
310;2017-11-10;2175.99
311;2017-11-11;1531.69
312;2017-11-12;3167.03
313;2017-11-13;1202.07
314;2017-11-14;845.89
