index;ds;y
0;2016-10-03;29.9
1;2016-10-06;1282.17
2;2016-10-08;1399.0
3;2017-01-07;149.0
4;2017-01-10;699.17
5;2017-01-11;129.0
6;2017-01-13;279.0
7;2017-01-17;379.0
8;2017-01-18;189.0
9;2017-01-26;1299.0
10;2017-01-27;1299.0
11;2017-01-29;222.4
12;2017-01-31;3441.95
13;2017-02-01;298.0
14;2017-02-02;798.97
15;2017-02-03;24.9
16;2017-02-04;239.0
17;2017-02-05;24.9
18;2017-02-06;239.0
19;2017-02-07;1866.04
20;2017-02-08;1323.0
21;2017-02-10;1450.93
22;2017-02-16;239.0
23;2017-02-17;199.0
24;2017-02-19;318.33
25;2017-02-20;139.9
26;2017-02-22;242.26000000000002
27;2017-02-24;86.0
28;2017-02-25;134.9
29;2017-02-26;478.99
30;2017-02-27;1928.89
31;2017-02-28;960.38
32;2017-03-01;159.9
33;2017-03-02;308.9
34;2017-03-03;328.0
35;2017-03-04;1493.0
36;2017-03-06;94.0
37;2017-03-07;746.54
38;2017-03-08;168.0
39;2017-03-09;270.27
40;2017-03-10;747.63
41;2017-03-11;890.94
42;2017-03-12;29.0
43;2017-03-13;1690.9
44;2017-03-14;29.0
45;2017-03-15;1741.85
46;2017-03-16;1106.95
47;2017-03-17;1389.52
48;2017-03-18;4896.610000000001
49;2017-03-19;238.0
50;2017-03-20;416.05
51;2017-03-21;806.11
52;2017-03-22;2051.8
53;2017-03-23;206.9
54;2017-03-24;176.93
55;2017-03-25;641.04
56;2017-03-26;26.69
57;2017-03-27;419.40999999999997
58;2017-03-28;1013.47
59;2017-03-29;255.61
60;2017-03-31;2549.36
61;2017-04-01;1672.3400000000001
62;2017-04-02;538.79
63;2017-04-03;255.61
64;2017-04-04;161.89
65;2017-04-05;1813.6200000000001
66;2017-04-06;1594.0
67;2017-04-07;1009.0
68;2017-04-08;2113.9
69;2017-04-09;787.01
70;2017-04-10;1375.0
71;2017-04-12;215.9
72;2017-04-13;1009.3199999999999
73;2017-04-14;694.5699999999999
74;2017-04-16;567.15
75;2017-04-17;418.23
76;2017-04-19;1033.4
77;2017-04-20;149.69
78;2017-04-21;45.0
79;2017-04-22;1059.6
80;2017-04-23;513.9
81;2017-04-24;635.0
82;2017-04-25;997.89
83;2017-04-26;673.89
84;2017-04-27;181.55
85;2017-04-28;1791.06
86;2017-04-29;1702.88
87;2017-04-30;325.9
88;2017-05-02;1358.3400000000001
89;2017-05-03;35.0
90;2017-05-04;125.0
91;2017-05-05;645.9
92;2017-05-06;1182.64
93;2017-05-07;736.34
94;2017-05-08;1119.8
95;2017-05-09;843.27
96;2017-05-10;1791.6
97;2017-05-11;1260.83
98;2017-05-12;78.0
99;2017-05-14;2579.76
100;2017-05-15;1594.69
101;2017-05-16;2558.8
102;2017-05-17;1517.76
103;2017-05-18;4340.14
104;2017-05-19;938.8
105;2017-05-20;795.4399999999999
106;2017-05-21;1219.7
107;2017-05-22;199.0
108;2017-05-23;845.98
109;2017-05-24;2987.31
110;2017-05-25;1805.5900000000001
111;2017-05-26;88.0
112;2017-05-27;2669.9
113;2017-05-28;303.70000000000005
114;2017-05-29;718.92
115;2017-05-30;380.9
116;2017-05-31;1898.3700000000001
117;2017-06-01;3647.61
118;2017-06-02;2453.34
119;2017-06-03;68.9
120;2017-06-04;786.6899999999999
121;2017-06-05;1275.8600000000001
122;2017-06-06;951.04
123;2017-06-07;76.9
124;2017-06-08;585.7
125;2017-06-09;1341.32
126;2017-06-10;420.55
127;2017-06-11;1990.99
128;2017-06-12;1106.8
129;2017-06-13;745.8
130;2017-06-14;1244.88
131;2017-06-15;275.0
132;2017-06-16;1158.79
133;2017-06-17;1085.88
134;2017-06-18;766.51
135;2017-06-19;974.12
136;2017-06-20;810.88
137;2017-06-22;658.98
138;2017-06-23;982.0
139;2017-06-24;402.9
140;2017-06-25;1556.0
141;2017-06-26;254.89
142;2017-06-27;202.0
143;2017-06-28;1044.0
144;2017-06-29;53.0
145;2017-06-30;416.3
146;2017-07-01;1881.92
147;2017-07-02;239.77
148;2017-07-03;282.0
149;2017-07-04;1129.89
150;2017-07-05;3861.32
151;2017-07-06;26.69
152;2017-07-07;1127.3799999999999
153;2017-07-08;437.0
154;2017-07-09;908.9
155;2017-07-10;384.43
156;2017-07-11;1731.88
157;2017-07-12;1307.8899999999999
158;2017-07-13;806.79
159;2017-07-14;1739.65
160;2017-07-15;1139.98
161;2017-07-16;1725.44
162;2017-07-17;664.65
163;2017-07-18;1087.66
164;2017-07-19;865.9
165;2017-07-20;922.5999999999999
166;2017-07-21;1803.28
167;2017-07-22;279.9
168;2017-07-23;633.24
169;2017-07-24;779.34
170;2017-07-25;1014.88
171;2017-07-26;384.0
172;2017-07-27;2429.39
173;2017-07-28;410.3
174;2017-07-29;1404.75
175;2017-07-30;972.9
176;2017-07-31;1318.7
177;2017-08-01;958.39
178;2017-08-02;808.4000000000001
179;2017-08-03;1375.6
180;2017-08-04;2366.69
181;2017-08-05;2653.7
182;2017-08-06;2096.39
183;2017-08-07;1232.05
184;2017-08-08;1292.8
185;2017-08-09;856.69
186;2017-08-10;1526.5900000000001
187;2017-08-11;19.9
188;2017-08-12;1116.72
189;2017-08-13;307.9
190;2017-08-14;945.1999999999999
191;2017-08-15;567.79
192;2017-08-16;894.98
193;2017-08-17;253.98
194;2017-08-18;597.8
195;2017-08-19;1271.79
196;2017-08-20;670.9
197;2017-08-21;1433.48
198;2017-08-22;1258.8899999999999
199;2017-08-23;971.99
200;2017-08-24;925.79
201;2017-08-25;1262.88
202;2017-08-26;838.6
203;2017-08-27;1090.69
204;2017-08-28;734.69
205;2017-08-29;2422.79
206;2017-08-30;1075.5
207;2017-08-31;2341.39
208;2017-09-01;2524.26
209;2017-09-02;157.9
210;2017-09-03;5309.96
211;2017-09-04;3299.28
212;2017-09-05;602.79
213;2017-09-06;968.7
214;2017-09-07;433.9
215;2017-09-08;590.98
216;2017-09-09;1347.79
217;2017-09-10;1580.77
218;2017-09-11;1025.9
219;2017-09-12;803.89
220;2017-09-13;1990.45
221;2017-09-14;1323.68
222;2017-09-15;1045.69
223;2017-09-16;1651.8899999999999
224;2017-09-17;3823.46
225;2017-09-18;1179.9
226;2017-09-19;1220.79
227;2017-09-20;829.7
228;2017-09-21;1837.6
229;2017-09-22;2849.96
230;2017-09-23;570.8
231;2017-09-24;1336.7
232;2017-09-25;1279.79
233;2017-09-26;1769.5900000000001
234;2017-09-27;856.95
235;2017-09-28;1275.49
236;2017-09-29;1100.5
237;2017-09-30;159.9
238;2017-10-01;2084.98
239;2017-10-02;1683.68
240;2017-10-03;2192.88
241;2017-10-04;1376.79
242;2017-10-05;1301.59
243;2017-10-06;859.6
244;2017-10-07;525.88
245;2017-10-08;3306.7799999999997
246;2017-10-09;1399.78
247;2017-10-10;5037.4400000000005
248;2017-10-11;2021.47
249;2017-10-12;2986.57
250;2017-10-13;1942.77
251;2017-10-14;668.68
252;2017-10-15;1013.69
253;2017-10-16;4404.59
254;2017-10-17;3600.17
255;2017-10-18;2938.09
256;2017-10-19;4889.22
257;2017-10-20;2150.6
258;2017-10-21;1754.8700000000001
259;2017-10-22;1682.8999999999999
260;2017-10-23;2137.58
261;2017-10-24;2625.77
262;2017-10-25;1186.7
263;2017-10-26;1963.89
264;2017-10-27;2057.69
265;2017-10-28;1199.98
266;2017-10-29;1711.79
267;2017-10-30;1119.32
268;2017-10-31;1048.8899999999999
269;2017-11-01;3775.4700000000003
270;2017-11-02;2740.79
271;2017-11-03;1634.83
272;2017-11-04;1558.48
273;2017-11-05;1368.8
274;2017-11-06;4089.79
275;2017-11-07;3665.3
276;2017-11-08;1513.98
277;2017-11-09;2619.87
278;2017-11-10;1931.85
279;2017-11-11;2793.46
280;2017-11-12;4500.38
281;2017-11-13;3822.18
282;2017-11-14;1744.7
283;2017-11-15;2324.21
284;2017-11-16;1441.6200000000001
285;2017-11-17;3117.51
286;2017-11-18;1476.52
287;2017-11-19;606.8
288;2017-11-20;3912.98
289;2017-11-21;3937.8900000000003
290;2017-11-22;2345.79
291;2017-11-23;4614.5599999999995
292;2017-11-24;17667.02
293;2017-11-25;3589.09
294;2017-11-26;1765.67
295;2017-11-27;1926.71
296;2017-11-28;1866.63
297;2017-11-29;3503.96
298;2017-11-30;3435.5
299;2017-12-01;5072.9
300;2017-12-02;6215.58
301;2017-12-03;3143.77
302;2017-12-04;5048.62
303;2017-12-05;2999.58
304;2017-12-06;2140.8
305;2017-12-07;1159.1
306;2017-12-08;1310.8
307;2017-12-09;1211.7
308;2017-12-10;4056.6000000000004
309;2017-12-11;3188.3
310;2017-12-12;3373.1
311;2017-12-13;3084.03
312;2017-12-14;861.7
313;2017-12-15;2438.49
314;2017-12-16;3909.69
315;2017-12-17;1112.6
316;2017-12-18;3159.88
317;2017-12-19;2682.38
318;2017-12-20;943.7
319;2017-12-21;1022.89
320;2017-12-22;1729.8
321;2017-12-23;349.79999999999995
322;2017-12-24;397.28999999999996
323;2017-12-25;743.72
324;2017-12-26;1417.19
325;2017-12-27;1273.5900000000001
326;2017-12-28;731.62
327;2017-12-29;3017.9
328;2017-12-30;340.0
329;2017-12-31;1311.8
330;2018-01-01;1018.78
331;2018-01-02;485.15
332;2018-01-03;1457.8500000000001
333;2018-01-04;1710.9
334;2018-01-05;2177.9700000000003
335;2018-01-06;2366.86
336;2018-01-07;1652.88
337;2018-01-08;2391.79
338;2018-01-09;2503.79
339;2018-01-10;824.8
340;2018-01-11;2884.89
341;2018-01-12;3830.7799999999997
342;2018-01-13;1656.04
343;2018-01-14;4588.7
344;2018-01-15;3413.05
345;2018-01-16;2257.7
346;2018-01-17;1298.79
347;2018-01-18;2033.51
348;2018-01-19;1963.53
349;2018-01-20;1148.0
350;2018-01-21;1763.73
351;2018-01-22;3786.8
352;2018-01-23;3790.4
353;2018-01-24;6183.7
354;2018-01-25;1287.5
355;2018-01-26;1491.83
356;2018-01-27;2496.6
357;2018-01-28;1902.53
358;2018-01-29;1256.89
359;2018-01-30;2946.18
360;2018-01-31;4603.32
361;2018-02-01;3410.1
362;2018-02-02;1450.99
363;2018-02-03;2184.9
364;2018-02-04;1535.8899999999999
365;2018-02-05;1345.63
366;2018-02-06;3670.5
367;2018-02-07;1074.49
368;2018-02-08;1991.9
369;2018-02-09;2876.7
370;2018-02-10;2018.79
371;2018-02-11;650.99
372;2018-02-12;1478.59
373;2018-02-13;396.99
374;2018-02-14;999.89
375;2018-02-15;1620.6100000000001
376;2018-02-16;1094.29
377;2018-02-17;3167.61
378;2018-02-18;1412.89
379;2018-02-19;1930.68
380;2018-02-20;2759.89
381;2018-02-21;4288.68
382;2018-02-22;2034.9
383;2018-02-23;2108.7
384;2018-02-24;2551.79
385;2018-02-25;1429.68
386;2018-02-26;3335.37
387;2018-02-27;2356.49
388;2018-02-28;4539.48
389;2018-03-01;2540.77
390;2018-03-02;3084.66
391;2018-03-03;2326.65
392;2018-03-04;4383.46
393;2018-03-05;1967.45
394;2018-03-06;2699.66
395;2018-03-07;3501.4
396;2018-03-08;1969.8
397;2018-03-09;6086.1
398;2018-03-10;4031.58
399;2018-03-11;2194.2
400;2018-03-12;3562.95
401;2018-03-13;3494.2799999999997
402;2018-03-14;1567.98
403;2018-03-15;5475.16
404;2018-03-16;3115.5
405;2018-03-17;2287.19
406;2018-03-18;3710.4
407;2018-03-19;3155.69
408;2018-03-20;2759.6
409;2018-03-21;5631.48
410;2018-03-22;1762.8700000000001
411;2018-03-23;2928.7
412;2018-03-24;4503.56
413;2018-03-25;2531.86
414;2018-03-26;2107.4900000000002
415;2018-03-27;1521.8
416;2018-03-28;4561.8
417;2018-03-29;1881.94
418;2018-03-30;1851.4
419;2018-03-31;2463.8
420;2018-04-01;3207.25
421;2018-04-02;3568.9900000000002
422;2018-04-03;3972.58
423;2018-04-04;2868.6
424;2018-04-05;3876.92
425;2018-04-06;856.77
426;2018-04-07;1841.28
427;2018-04-08;1529.53
428;2018-04-09;1298.79
429;2018-04-10;2539.3500000000004
430;2018-04-11;3116.7799999999997
