ds;trend;yhat_lower;yhat_upper;trend_lower;trend_upper;additive_terms;additive_terms_lower;additive_terms_upper;weekly;weekly_lower;weekly_upper;yearly;yearly_lower;yearly_upper;multiplicative_terms;multiplicative_terms_lower;multiplicative_terms_upper;yhat
2016-10-04;-641.7411849713808;-1469.519904188785;285.06628120837286;-898.2303727823999;-400.11295614119996;-25.734557222149874;-177.32337204974735;107.18264265936821;273.4262954026069;180.18794662779877;369.30023388054207;-299.1608526247568;-438.4771594467158;-134.33283130993055;0.0;0.0;0.0;-667.4757421935307
2016-10-05;-635.9348959341037;-1454.2795689866527;263.13190115295504;-890.9618274176679;-396.3090502375469;28.37452735843925;-127.93196871530313;193.7024624681382;286.74092739290086;189.04931436564772;387.2016686337849;-258.3664000344617;-399.55976128591215;-91.62427482340303;0.0;0.0;0.0;-607.5603685756645
2016-10-06;-630.1286068968266;-1502.3911257084496;153.31376869550078;-883.5946152426051;-392.4816884186939;-29.040052603172786;-185.37890989168034;135.43373781774156;190.8996738445703;138.79581732392023;256.0759580030935;-219.93972644774308;-360.6303056488173;-71.52343160982599;0.0;0.0;0.0;-659.1686594999993
2016-10-07;-624.3223178595496;-1651.5815703234332;415.6526681440651;-876.1264448679077;-388.6543265998409;-108.97243014901946;-258.36904253932175;48.79747517561704;75.83193409347201;3.313422601230493;142.74186047858407;-184.80436424249143;-309.2322548310651;-48.63166307148241;0.0;0.0;0.0;-733.2947480085691
2016-10-08;-618.5160288222723;-2103.34290552249;-337.0086095677443;-868.6582744932102;-384.10142868525986;-807.6998228384265;-952.834628177966;-627.8629164049271;-653.8384356822658;-735.7414728499305;-573.5342021850411;-153.86138715616056;-291.55172731290753;1.4424703243937753;0.0;0.0;0.0;-1426.2158516606987
2016-10-09;-612.7097397849953;-2098.300364828396;-217.7517496043624;-861.1901041185127;-379.0638803396749;-733.2468363988196;-931.3720283608652;-568.4753125738935;-605.2831771880607;-710.5384760864404;-503.6518880869615;-127.96365921075872;-269.7019035337414;17.858543905882527;0.0;0.0;0.0;-1345.9565761838148
2016-10-10;-606.9034507477182;-1482.821712914707;769.27395473827;-853.7219337438154;-374.0263319940899;324.33266047571254;127.8513825823416;493.853195827599;432.22278213781306;345.44244047238766;511.7336541620684;-107.89012166210051;-264.0436086082843;41.60564359245952;0.0;0.0;0.0;-282.5707902720057
2017-01-12;-61.11228124367189;-87.18012960989937;1553.768134981033;-200.3398070123412;56.70963018013486;734.7432591187899;494.0031554192707;935.7294284744133;190.89967384473894;138.7958173240762;256.0759580031672;543.843585274051;310.3980214805423;742.4552238613097;0.0;0.0;0.0;673.630977875118
2017-01-18;-26.27454702000941;-159.85864735633803;1726.9954965022935;-168.96456935324613;94.28500052266509;809.963197649278;620.702358528276;1012.9099602718732;286.7409273926839;189.0493143653496;387.2016686336659;523.2222702565944;320.51943593925887;719.4627894990149;0.0;0.0;0.0;783.6886506292685
2017-01-19;-20.468257982732204;-102.24220662809695;1598.9074588495796;-162.2030450386097;100.09802923938683;685.6154769474986;483.77931935148627;890.4545014152145;190.89967384501153;138.79581732427735;256.0759580032853;494.715803102487;303.7102340114543;691.9898401043845;0.0;0.0;0.0;665.1472189647664
2017-01-21;-8.855679908178022;-1186.0873327846955;622.1682525259225;-150.71793902898315;109.70391537012866;-224.4153331522965;-415.1248660969177;-29.94210687461737;-653.8384356813145;-735.7414728490405;-573.5342021844887;429.4231025290181;237.5508445361034;606.4831390366263;0.0;0.0;0.0;-233.27101306047453
2017-01-23;2.756898166376162;-103.54955455202727;1761.136375496573;-137.22099821780054;121.55279861530376;795.7058908791436;594.7026827770409;943.1770683929467;432.2227821385727;345.4424404732524;511.7336541628185;363.4831087405705;181.78675351698038;514.9864223698654;0.0;0.0;0.0;798.4627890455197
2017-01-24;8.563187203653216;-388.7839180680659;1528.6668893020374;-130.32028186075505;127.5212950607101;607.3768326825125;406.7770996996958;797.7241970738062;273.4262954026845;180.1879466279444;369.30023388020203;333.9505372798279;147.01760425530307;478.53657258403706;0.0;0.0;0.0;615.9400198861657
2017-01-25;14.36947624093027;-252.51383199034876;1542.1592471134275;-124.99460993050026;133.48979150611646;595.2016109936787;399.3119395067607;762.616513239695;286.7409273929584;189.04931436557743;387.2016686337755;308.46068360072024;113.08698749856947;457.54485736092096;0.0;0.0;0.0;609.571087234609
2017-01-26;20.1757652782074;-348.98959000806104;1340.3450073047445;-119.22326309361262;139.45828795152278;479.04199858198257;295.2765002219677;654.7772121775827;190.89967384424014;138.79581732362053;256.07595800294916;288.14232473774234;100.4776841566293;462.64509714750096;0.0;0.0;0.0;499.21776386018996
2017-01-27;25.982054315484454;-189.27453411043308;1312.280962218066;-113.73961360918616;145.42678439692912;349.77929050380664;199.23039974072145;533.5953387439996;75.83193409408779;3.3134226018516992;142.74186047943428;273.9473564097188;89.09192782017753;456.8344864547099;0.0;0.0;0.0;375.7613448192911
2017-01-29;37.59463239003856;-1205.5721667639825;591.1006377674615;-101.86717643417987;156.01623195522188;-338.5399905071605;-548.662007176647;-158.64276558856577;-605.2831771912415;-710.5384760900314;-503.65188809008697;266.7431866840809;95.50234556849337;464.754878016211;0.0;0.0;0.0;-300.94535811712194
2017-01-30;43.40092142731584;-254.07657132112615;1612.31126636958;-95.78532162391461;161.06686143613845;706.8331424504546;501.04737631687124;892.971333955139;432.2227821391347;345.44244047389185;511.73365416337197;274.6103603113201;98.28508208517671;460.84581241348235;0.0;0.0;0.0;750.2340638777705
2017-01-31;49.20721046459282;-263.63418044062297;1500.657167339714;-89.70346681364953;166.11749091705485;563.7690204751569;388.92556340853474;759.7742957933552;273.42629540251147;180.18794662772356;369.3002338805377;290.3427250726456;112.31454478820751;483.28338716778796;0.0;0.0;0.0;612.9762309397497
2017-02-01;55.0134995018698;-233.1195959302133;1531.077665721776;-82.89458628554682;172.08642110536954;600.5728613638462;368.48005345796236;829.7138606283604;286.74092739252865;189.0493143652316;387.2016686336069;313.83193397131765;144.26384522797161;511.7870795795848;0.0;0.0;0.0;655.586360865716
2017-02-02;61.84528482708312;-311.6575654763164;1454.710544396214;-74.43866000786619;176.46945015045995;535.6596767496726;347.6840762456299;736.3285322752523;190.89967384529868;138.79581732463654;256.07595800341335;344.7600029043739;190.3280604825322;540.271793002165;0.0;0.0;0.0;597.5049615767557
2017-02-03;68.67707015229644;-353.9263800631936;1546.472932356;-66.30238347689559;182.2452708608092;458.44408818010373;274.77459886229303;657.8991042385976;75.83193409337049;3.313422601136946;142.7418604785564;382.61215408673314;212.47618380533243;577.15518597763;0.0;0.0;0.0;527.1211583324002
2017-02-04;75.5088554775096;-643.5301077629722;907.0323388566109;-58.25132209307189;189.5034395679976;-227.14426737731796;-393.44697562513824;-29.917885562595647;-653.8384356825642;-735.7414728502099;-573.5342021852144;426.69416830524636;256.5254150509117;608.3451125355496;0.0;0.0;0.0;-151.63541189980836
2017-02-06;89.17242612793625;194.60956811663957;2035.4005452707697;-42.149199325424675;201.77788944864548;962.2279187950419;768.887039689611;1149.7986809073864;432.2227821379614;345.4424404725558;511.7336541622109;530.0051366570806;358.65041559594215;710.3213140297544;0.0;0.0;0.0;1051.400344922978
2017-02-07;96.00421145314957;-217.45769137341185;1800.8766290477122;-34.09813794160107;206.79411616953197;860.5830630838184;708.5483274196225;1053.9643091601329;273.4262954028754;180.1879466279677;369.3002338807263;587.156767680943;408.5518215313104;761.3728411363925;0.0;0.0;0.0;956.5872745369679
2017-02-08;102.83599677836273;264.29796723372715;1854.3740037536968;-25.79941217361781;213.10533648294646;933.1813967874555;703.5127416625429;1130.2843865820482;286.7409273929116;189.04931436573315;387.2016686338102;646.440469394544;486.69461396418944;815.7731523871099;0.0;0.0;0.0;1036.017393565818
2017-02-09;109.66778210357604;200.22904216611158;1871.1199534310397;-16.896028762851834;219.15304389697175;897.541886506851;709.241456998526;1069.159106784453;190.89967384478547;138.7958173240228;256.0759580031851;706.6422126620653;542.6723949768423;866.0218538790674;0.0;0.0;0.0;1007.2096686104271
2017-02-10;116.49956742878952;-143.88538367699684;1734.5115280538346;-7.992645352085678;225.14336925225305;842.3651128575241;660.5093336106712;1028.7075892053338;75.83193409265326;3.31342260042225;142.74186047767856;766.5331787648709;610.109431885712;927.1980240692383;0.0;0.0;0.0;958.8646802863136
2017-02-11;123.33135275400268;-605.0575305292806;1140.619458024143;1.3514846945188066;231.13369460753438;171.06209153108924;2.7870788963625435;366.0651228061976;-653.8384356837062;-735.741472851274;-573.5342021856387;824.9005272147951;664.2731104975882;1001.1312769460566;0.0;0.0;0.0;294.3934442850919
2017-02-12;130.163138079216;-434.94429760948293;1314.5733835215296;9.829598830931424;237.12401996281568;275.29391869932454;130.31071312960407;472.0250577138304;-605.2831771911866;-710.5384760897045;-503.65188809020935;880.5770958905111;723.1427540754601;1057.8171320680697;0.0;0.0;0.0;405.4570567785405
2017-02-13;136.99492340442933;735.5486625985186;2369.8950217639203;17.142506143511408;243.0308526247505;1364.6921104052055;1173.897704116437;1554.4955909877824;432.2227821390264;345.4424404737703;511.7336541632746;932.4693282661792;774.2286541279457;1099.647151055041;0.0;0.0;0.0;1501.6870338096348
2017-02-14;143.82670872964263;541.4359273433523;2025.1314896096985;25.69658850394258;247.8191449437286;1253.0090753033808;1082.3751620475757;1437.7798631483042;273.42629540264875;180.18794662787386;369.30023388037216;979.5827799007321;847.2489465936974;1158.0787384916696;0.0;0.0;0.0;1396.8357840330234
