ds;trend;yhat_lower;yhat_upper;trend_lower;trend_upper;additive_terms;additive_terms_lower;additive_terms_upper;weekly;weekly_lower;weekly_upper;yearly;yearly_lower;yearly_upper;multiplicative_terms;multiplicative_terms_lower;multiplicative_terms_upper;yhat
2016-10-03;353.276980107876;426.0116925436431;1264.5413827083921;177.68718110880002;482.0335270344;418.8703277632187;314.9893295689379;531.5982216937267;141.52936026887727;87.76644714343591;199.127178801262;277.34096749434144;180.2401635135463;378.24000096316456;0.0;0.0;0.0;772.1473078710947
2016-10-04;355.5292547159713;232.2751504843367;1235.2967657873298;181.1078771985842;484.7122401338072;394.1701260657271;307.26923775276185;499.39220066371263;109.82201451547343;73.9151448849458;159.00682139177437;284.3481115502536;190.62163284586512;378.9584149701895;0.0;0.0;0.0;749.6993807816984
2016-10-05;357.7815293240665;264.09144249810737;1203.7262540323356;184.52857328836836;487.2009949972317;342.81457664076055;266.49729413130575;431.466756425822;51.55760812876038;-2.829923615581783;106.9617711572097;291.2569685120002;207.1856256465071;380.5536601279218;0.0;0.0;0.0;700.5961059648271
2016-10-06;360.0338039321618;48.56426838869551;1058.0818069183947;187.94926937815254;489.6347318610475;226.32339206225979;118.93407386183836;327.70155490664763;-71.28094315457385;-109.35514937473746;-28.250347413180698;297.6043352168336;214.85310500489595;384.39804507896275;0.0;0.0;0.0;586.3571959944215
2016-10-07;362.28607854025705;276.54209284168087;1154.2554480263052;191.3699654679367;492.0684687248633;379.49613784866233;282.509955099229;472.1905890869565;76.63720030121458;24.810521354076002;114.5527570284026;302.8589375474478;221.30239497514728;383.7899585011926;0.0;0.0;0.0;741.7822163889193
2016-10-09;366.7906277564475;17.268749793394388;1052.4253044008547;198.21135764750508;496.935942452495;177.24234662259948;59.86925074075275;295.0805735977424;-130.48847649023267;-167.37390787193564;-90.14232363088533;307.7308231128321;220.26237805100757;386.29089277573115;0.0;0.0;0.0;544.032974379047
2016-10-10;369.0429023645428;221.89692286997462;1157.9689225566096;201.63205373728923;499.36967931631085;447.6434372186978;341.25217347832734;535.1779150327129;141.52936026824452;87.76644714271626;199.12717880068044;306.11407695045335;217.75961320618111;392.4763382256167;0.0;0.0;0.0;816.6863395832406
2017-01-05;564.9907932688296;-119.11201011005082;764.2088334395368;493.7127031578303;639.984915002248;-282.09486034251273;-385.4613016113749;-168.09609750352442;-71.28094315444707;-109.35514937465973;-28.25034741305736;-210.8139171880657;-313.8268250443618;-104.63972386603709;0.0;0.0;0.0;282.8959329263169
2017-01-06;567.2430678769249;-95.40332064571959;789.4207750007276;496.0983049100029;640.9237237811741;-101.89411527670052;-212.13002933137213;16.425658904546733;76.63720030127556;24.810521354135066;114.5527570284549;-178.53131557797605;-268.88279172521095;-77.92063057121466;0.0;0.0;0.0;465.3489526002244
2017-01-11;578.5044409174012;95.84472983266973;1023.6978150415392;507.53316083719596;647.1651861256921;-36.7562388867419;-125.72007482182087;39.19130020071843;51.55760812892326;-2.829923615440988;106.96177115706038;-88.31384701566515;-170.64754302876582;4.545928013389738;0.0;0.0;0.0;541.7482020306593
2017-01-15;587.5135393497823;-143.93331484345515;926.236262674768;518.758075601249;655.8666314186072;-257.1642100364816;-345.71570390183274;-159.63807130427526;-130.48847649029074;-167.37390787193405;-90.14232363098523;-126.67573354619086;-207.09807386000068;-47.76972379753601;0.0;0.0;0.0;330.34932931330064
2017-01-17;592.0180885659727;72.52079330206902;1023.5718936419462;525.1151411459119;661.6219841625497;-68.66318181347049;-149.73717605340485;16.46372761998164;109.82201451548455;73.91514488499968;159.0068213918331;-178.4851963289551;-244.88940728097614;-98.11606241070783;0.0;0.0;0.0;523.3549067525022
2017-01-18;594.2703631740679;-20.1609095008946;881.7264507119253;529.2289160892674;664.4996605345209;-158.568362558267;-242.16330878600013;-74.39852561565372;51.55760812871993;-2.829923615579038;106.96177115697003;-210.12597068698696;-275.0078175170039;-132.10202537066328;0.0;0.0;0.0;435.7020006158009
2017-01-19;596.5226377821632;-252.20718886539044;746.9542586872924;532.3561228593323;667.3196972301928;-315.66736384149175;-398.0072555959099;-232.68726217047214;-71.28094315446828;-109.35514937454252;-28.250347413102947;-244.38642068702353;-313.0843497523657;-175.3314938020979;0.0;0.0;0.0;280.85527394067145
