ds;trend;yhat_lower;yhat_upper;trend_lower;trend_upper;additive_terms;additive_terms_lower;additive_terms_upper;weekly;weekly_lower;weekly_upper;yearly;yearly_lower;yearly_upper;multiplicative_terms;multiplicative_terms_lower;multiplicative_terms_upper;yhat
2016-10-04;149.002659498705;-1217.3535248122091;751.6282267598621;-121.25620878160001;454.28653901600006;-279.0444151814611;-503.23368835149165;-84.68107267252142;247.7491627932912;192.86473946124693;310.22882428063633;-526.7935779747523;-716.6981179610596;-331.4192550015776;0.0;0.0;0.0;-130.0417556827561
2016-10-05;152.25123241398705;-1113.982144442284;682.4108893072598;-115.49494412554228;454.6283951680811;-347.024538228925;-562.7608240682808;-126.59226850805845;186.70441259647842;109.22937885827498;259.77630081303056;-533.7289508254036;-711.7866841720436;-335.9500068871709;0.0;0.0;0.0;-194.77330581493794
2016-10-06;155.49980532926912;-1165.3903993543352;631.2150196828027;-109.73367946948456;454.9702513201621;-490.8004273851215;-727.9653062798308;-290.29753210400304;44.384147094431384;-26.646235381662162;125.01565173020435;-535.184574479553;-721.9974891265723;-330.1153100352184;0.0;0.0;0.0;-335.3006220558524
2016-10-09;165.2455240751153;-1154.6714308750295;199.30497257794198;-93.42385526006973;455.99581977640526;-693.5461082462385;-956.7035656652952;-452.4440290102745;-180.90688010666415;-247.0619423196708;-120.10957753796282;-512.6392281395746;-741.7108181123238;-292.5699724123424;0.0;0.0;0.0;-528.3005841711232
2017-01-08;460.86565936578285;-338.3493352604041;1135.8596209610357;320.254431846052;586.0426543461133;-135.60279557952347;-325.26424770154324;88.01387644850207;-180.90688010695118;-247.06194231994266;-120.10957753786617;45.30408452742773;-111.72265723620252;234.03991112422779;0.0;0.0;0.0;325.26286378625935
2017-01-10;467.362805196347;-130.80153512826826;1652.8729330472372;327.42472377894063;586.8758004879305;368.42681573735695;180.81430619275133;598.9154009582993;247.74916279314039;192.86473946138145;310.2288242801892;120.67765294421666;-52.110059511599395;298.203047206605;0.0;0.0;0.0;835.7896209337039
2017-01-13;477.10852394219313;-278.16830656148596;1155.778293432735;344.12106415390167;587.8970349057162;54.11804683742724;-110.40385782268645;233.44924261616077;-97.13554958505694;-162.1677511213816;-23.189362920734112;151.2535964224842;-17.204628393213603;336.0036139044004;0.0;0.0;0.0;531.2265707796204
2017-01-15;483.60566977275727;-202.64064931318384;1451.1520931154778;355.2519577372092;595.6916441902628;-55.433394504471636;-234.64910283464076;130.93384622380387;-180.90688010664087;-247.0619423196543;-120.10957753785291;125.47348560216919;-46.11206592043877;292.41014721597224;0.0;0.0;0.0;428.1722752682856
2017-01-17;490.1028156033214;10.313483618626933;1792.241142228935;361.0476387126134;605.6617984389894;321.6425655767876;143.78491114603762;488.92088604674285;247.74916279324597;192.86473946136326;310.2288242804634;73.89340278354162;-89.51312938728472;260.73287016869733;0.0;0.0;0.0;811.745381180109
2017-01-18;493.35138851860347;-131.47672863680643;1485.2963416690816;363.0863318728165;608.6849300822402;228.6805637934514;69.22392626362574;415.9543196954043;186.7044125964295;109.22937885816674;259.77630081293876;41.97615119702195;-118.74674685823302;219.1171337068308;0.0;0.0;0.0;722.0319523120548
2017-01-19;496.5999614338855;-424.4806434966256;1427.7091990550418;365.1250250330197;611.708061725491;52.31921579155389;-109.37133964795251;229.85863398311673;44.38414709429348;-26.64623538212117;125.01565173023049;7.935068697260403;-133.0793931417983;182.9730568961048;0.0;0.0;0.0;548.9191772254394
2017-01-20;499.8485343491676;-429.42681642174193;1054.8258084840993;367.16371819322285;616.2524088941569;-123.92761966735367;-284.8154211196176;34.65937288202283;-97.13554958521777;-162.16775112089204;-23.189362921141072;-26.792070082135897;-162.46884531782447;135.22885892287738;0.0;0.0;0.0;375.92091468181394
2017-01-21;503.0971072644496;-734.2333606916807;1121.833880552172;367.025463188596;620.938197827594;-385.5768768623535;-566.8266132205598;-198.13782623983855;-324.73430571249867;-405.5216998457806;-244.8060390025245;-60.84257114985478;-203.45497276609743;113.19843836690745;0.0;0.0;0.0;117.5202304020961
2017-01-22;506.3456801797317;-656.5405541169087;1321.400480645105;366.7202351882705;625.6239867610313;-273.87220050528947;-459.47856113747645;-70.61691630678405;-180.90688010787346;-247.06194232078212;-120.10957753827907;-92.96532039741605;-241.9656228020999;78.13003862109946;0.0;0.0;0.0;232.47347967444222
